stats_g/mean,test/episode,epoch,train/episode,stats_o/std,test/ag_g_dist,stats_o/mean,stats_g/std,test/mean_Q,train/critic_loss,test/success_rate,train/success_rate
0.766546,1640.0,81,8200.0,0.09078459,0.35511017,0.18121572,0.17500438,-29.704582,0.9689841,0.008333333333333333,0.01
0.7668364,1660.0,82,8300.0,0.09097763,0.33371678,0.18128131,0.17521389,-29.29309,1.2905215,0.0,0.006666666666666667
0.7671728,1680.0,83,8400.0,0.091297485,0.30100837,0.1813491,0.175498,-29.23526,1.0085739,0.008333333333333333,0.008333333333333333
0.7675001,1700.0,84,8500.0,0.09157302,0.30119857,0.18141358,0.17585863,-27.882101,1.1245786,0.025000000000000005,0.006666666666666667
0.76789737,1720.0,85,8600.0,0.09184009,0.28200302,0.18147399,0.1761979,-27.237082,0.98828596,0.0,0.005
0.7681357,1740.0,86,8700.0,0.09202212,0.33287153,0.18152161,0.17642415,-28.326406,1.4720497,0.016666666666666666,0.005
0.7682841,1760.0,87,8800.0,0.09221038,0.38993546,0.18155532,0.17656374,-28.228376,1.2417444,0.016666666666666666,0.011666666666666667
0.7684161,1780.0,88,8900.0,0.092398465,0.3912151,0.18157391,0.1767153,-28.656984,0.9077928,0.016666666666666666,0.013333333333333334
0.7685775,1800.0,89,9000.0,0.09247624,0.36570463,0.1816091,0.17675543,-28.246094,1.5235542,0.016666666666666666,0.011666666666666667
0.7687783,1820.0,90,9100.0,0.092647515,0.3566245,0.18165733,0.17687434,-27.944849,1.2278794,0.008333333333333333,0.006666666666666667
0.7688827,1840.0,91,9200.0,0.09277228,0.3048794,0.18168299,0.17695819,-26.406624,1.8455149,0.06666666666666667,0.013333333333333334
0.7690645,1860.0,92,9300.0,0.092967354,0.35563278,0.18172514,0.1771077,-28.413645,0.7623418,0.025000000000000005,0.006666666666666667
0.7692775,1880.0,93,9400.0,0.09313998,0.33460093,0.18175997,0.17718937,-28.151918,0.9569816,0.024999999999999998,0.0033333333333333335
0.76950794,1900.0,94,9500.0,0.09329102,0.3823034,0.1818034,0.1771922,-27.89183,1.0666846,0.016666666666666666,0.008333333333333333
0.7696459,1920.0,95,9600.0,0.093471795,0.34784833,0.1818405,0.17729752,-27.869955,0.6002295,0.008333333333333333,0.01
0.7698581,1940.0,96,9700.0,0.09372571,0.28058854,0.18189895,0.17758124,-25.774292,0.95893997,0.016666666666666666,0.006666666666666667
0.7701387,1960.0,97,9800.0,0.09385421,0.2903797,0.18195404,0.17771982,-26.13032,0.6574776,0.025000000000000005,0.006666666666666667
0.77045435,1980.0,98,9900.0,0.093977325,0.29812682,0.18202712,0.1777684,-26.569803,0.9568551,0.016666666666666666,0.0033333333333333335
0.77074665,2000.0,99,10000.0,0.09415839,0.2975606,0.1820753,0.17796205,-25.60018,0.93584776,0.016666666666666666,0.006666666666666667
0.7709964,2020.0,100,10100.0,0.09431472,0.33942127,0.18213435,0.1780212,-27.130836,0.8724718,0.03333333333333333,0.0033333333333333335
0.7712214,2040.0,101,10200.0,0.094469704,0.32257175,0.1821783,0.17805803,-27.165476,1.0442249,0.041666666666666664,0.005
0.7714266,2060.0,102,10300.0,0.09461137,0.28855252,0.18222243,0.17818193,-27.89235,1.4390973,0.008333333333333333,0.01
0.7716678,2080.0,103,10400.0,0.09478333,0.2698572,0.18225925,0.17839514,-25.920006,1.4281416,0.025000000000000005,0.0033333333333333335
0.7720449,2100.0,104,10500.0,0.09494982,0.30473992,0.18233986,0.17852862,-28.929388,0.9219308,0.008333333333333333,0.005
0.7723482,2120.0,105,10600.0,0.09514659,0.2992688,0.18239857,0.17866282,-28.265686,0.96295947,0.0,0.0033333333333333335
0.77262187,2140.0,106,10700.0,0.095282614,0.3412455,0.18245126,0.17880851,-27.786253,1.0908929,0.025000000000000005,0.0033333333333333335
0.77292395,2160.0,107,10800.0,0.095453955,0.31731406,0.18250804,0.17898685,-27.043188,1.3166422,0.03333333333333333,0.0033333333333333335
0.7732944,2180.0,108,10900.0,0.09563396,0.28868952,0.1825704,0.17908923,-26.574919,1.2802428,0.016666666666666666,0.006666666666666667
0.77361774,2200.0,109,11000.0,0.09579448,0.26994434,0.18263592,0.17914383,-27.202515,1.0520644,0.016666666666666666,0.0033333333333333335
0.77390957,2220.0,110,11100.0,0.0959815,0.26971126,0.18268566,0.17932443,-26.379889,1.1578954,0.025000000000000005,0.008333333333333333
0.77434653,2240.0,111,11200.0,0.09615168,0.30754828,0.18276946,0.17943822,-26.803541,0.99795216,0.008333333333333333,0.011666666666666667
0.7746529,2260.0,112,11300.0,0.09626035,0.30466998,0.18280894,0.17951311,-26.864182,1.1221442,0.03333333333333333,0.005
0.7748785,2280.0,113,11400.0,0.09641262,0.33931127,0.18283407,0.17955816,-26.770395,1.438408,0.025000000000000005,0.005
0.775114,2300.0,114,11500.0,0.09663087,0.27711168,0.18289156,0.17979924,-25.971132,1.1012052,0.008333333333333333,0.0033333333333333335
0.77540255,2320.0,115,11600.0,0.09680859,0.27729496,0.18294068,0.17997259,-26.429636,1.1067456,0.025000000000000005,0.01
0.7756855,2340.0,116,11700.0,0.09698766,0.2767149,0.1830013,0.18005669,-25.696466,1.0128869,0.016666666666666666,0.005
0.77597666,2360.0,117,11800.0,0.09718963,0.31696004,0.18305887,0.1802214,-26.84255,0.8302161,0.0,0.008333333333333333
0.77628845,2380.0,118,11900.0,0.09739678,0.32527766,0.18311645,0.18031444,-25.643097,1.0234495,0.05000000000000001,0.013333333333333334
0.77658814,2400.0,119,12000.0,0.097599246,0.2970879,0.18317692,0.18038453,-24.868185,1.0124303,0.016666666666666666,0.0033333333333333335
0.77686715,2420.0,120,12100.0,0.0978025,0.2801909,0.18323429,0.18049426,-23.99824,1.0042686,0.0,0.008333333333333333
0.7771155,2440.0,121,12200.0,0.09808602,0.23173006,0.18327361,0.18061586,-19.154762,1.1121801,0.016666666666666666,0.011666666666666665
0.7774403,2460.0,122,12300.0,0.098350994,0.26576862,0.1833396,0.18061288,-19.491407,1.7138873,0.008333333333333333,0.0033333333333333335
0.7777031,2480.0,123,12400.0,0.09864467,0.24810112,0.18338472,0.18067706,-18.05049,1.4912158,0.0,0.005
0.77795285,2500.0,124,12500.0,0.098864734,0.23237099,0.18343818,0.1807201,-18.700432,1.3499609,0.008333333333333333,0.006666666666666667
0.778194,2520.0,125,12600.0,0.09901223,0.25687665,0.18349545,0.18072672,-18.962908,1.158471,0.008333333333333333,0.0033333333333333335
0.77842426,2540.0,126,12700.0,0.09911317,0.24248497,0.18354984,0.18070938,-18.88262,0.91613513,0.016666666666666666,0.006666666666666667
0.7786544,2560.0,127,12800.0,0.09915542,0.2657759,0.18360655,0.18057649,-19.898108,1.0080608,0.008333333333333333,0.008333333333333333
0.77881765,2580.0,128,12900.0,0.09918272,0.2893622,0.18364526,0.18057944,-21.73863,1.0456349,0.0,0.006666666666666667
0.77900267,2600.0,129,13000.0,0.09923292,0.27305362,0.18368022,0.18052381,-21.030628,0.83052754,0.008333333333333333,0.0033333333333333335
0.7791404,2620.0,130,13100.0,0.09929588,0.29071477,0.18369679,0.18050788,-21.43534,0.9029166,0.008333333333333333,0.0033333333333333335
0.7792959,2640.0,131,13200.0,0.09939071,0.3044705,0.18373407,0.18057126,-22.681519,1.1250235,0.0,0.005
0.7794299,2660.0,132,13300.0,0.09943073,0.35576358,0.18376534,0.18056245,-23.826792,1.2995101,0.016666666666666666,0.0016666666666666668
0.7795315,2680.0,133,13400.0,0.099465944,0.30361688,0.18378429,0.18055743,-22.294317,1.4120289,0.025000000000000005,0.006666666666666667
0.77963877,2700.0,134,13500.0,0.09956608,0.29688022,0.18380195,0.18055868,-23.49824,1.0997866,0.0,0.011666666666666667
0.77976745,2720.0,135,13600.0,0.099600494,0.31418785,0.18382448,0.18055856,-23.038206,0.8981088,0.016666666666666666,0.006666666666666667
0.77985746,2740.0,136,13700.0,0.099697374,0.29658565,0.18383999,0.18062358,-23.348005,0.9930282,0.016666666666666666,0.006666666666666667
0.7800114,2760.0,137,13800.0,0.09969741,0.32346436,0.18386424,0.18063389,-24.393625,0.8549812,0.025000000000000005,0.02
0.7800892,2780.0,138,13900.0,0.09970481,0.2981762,0.18387707,0.18064797,-24.800985,0.86504775,0.016666666666666666,0.0033333333333333335
0.780291,2800.0,139,14000.0,0.09975032,0.29293844,0.18392456,0.18066345,-23.778,0.68740726,0.025000000000000005,0.008333333333333333
0.7805628,2820.0,140,14100.0,0.099736065,0.2709361,0.183984,0.1806444,-23.370071,0.8254936,0.008333333333333333,0.013333333333333334
0.7807936,2840.0,141,14200.0,0.09978176,0.26914302,0.1840328,0.18069422,-22.974325,0.9075628,0.0,0.0033333333333333335
0.78104967,2860.0,142,14300.0,0.09984418,0.2468944,0.18408577,0.18077391,-23.195898,1.2613152,0.008333333333333333,0.0033333333333333335
0.7813411,2880.0,143,14400.0,0.09990869,0.29129654,0.18414772,0.1808414,-24.948622,0.8400739,0.0,0.0016666666666666668
0.78167456,2900.0,144,14500.0,0.0999986,0.2875121,0.18422252,0.18093562,-24.787226,1.4796127,0.016666666666666666,0.0016666666666666668
0.7819431,2920.0,145,14600.0,0.100170545,0.27503026,0.18428008,0.18105726,-24.187735,1.2036743,0.03333333333333333,0.005
0.78224826,2940.0,146,14700.0,0.10028807,0.31642488,0.18432657,0.18110152,-24.549177,1.1449536,0.008333333333333333,0.005
0.7825255,2960.0,147,14800.0,0.10044354,0.30737975,0.18437159,0.18115483,-25.067106,1.1891991,0.008333333333333333,0.008333333333333333
0.7827799,2980.0,148,14900.0,0.10057173,0.28064916,0.18441032,0.18117352,-23.528677,0.87864,0.008333333333333333,0.008333333333333333
0.78306127,3000.0,149,15000.0,0.10071629,0.30840418,0.18446822,0.18125932,-25.058062,0.9162681,0.008333333333333333,0.006666666666666667
0.7833809,3020.0,150,15100.0,0.10082082,0.26648402,0.18452163,0.1813129,-23.350096,0.86530566,0.016666666666666666,0.008333333333333333
0.78360796,3040.0,151,15200.0,0.10093614,0.29833123,0.18455249,0.18140422,-25.276464,1.0887642,0.008333333333333333,0.01
0.7838443,3060.0,152,15300.0,0.100972585,0.28568333,0.1845798,0.18139343,-25.374395,0.5648902,0.025000000000000005,0.0033333333333333335
0.7839949,3080.0,153,15400.0,0.10101422,0.30102164,0.18459137,0.18142663,-24.693445,0.8965759,0.016666666666666666,0.0033333333333333335
0.7841976,3100.0,154,15500.0,0.10102352,0.26814213,0.18461502,0.18142982,-24.404205,1.3869413,0.0,0.005
0.7843942,3120.0,155,15600.0,0.10108196,0.29091728,0.18463926,0.1814851,-26.06681,0.7131538,0.016666666666666666,0.01
0.784589,3140.0,156,15700.0,0.10109311,0.2698895,0.18466027,0.18151753,-26.116693,0.9598515,0.025000000000000005,0.0016666666666666668
0.7847665,3160.0,157,15800.0,0.10113341,0.2920916,0.18467738,0.18154527,-24.486618,0.7619502,0.041666666666666664,0.005
0.7848838,3180.0,158,15900.0,0.1012021,0.23391831,0.18468381,0.1816989,-24.01625,1.3055536,0.041666666666666664,0.008333333333333333
0.78499246,3200.0,159,16000.0,0.10133765,0.25618753,0.18469684,0.18170233,-24.280031,0.7054226,0.03333333333333333,0.006666666666666667
0.7851531,3220.0,160,16100.0,0.10146117,0.2922105,0.18473102,0.18179832,-24.077942,0.82460076,0.025000000000000005,0.013333333333333334
0.78526473,3240.0,161,16200.0,0.101578146,0.26152548,0.18474197,0.1818161,-22.652597,0.95916766,0.016666666666666666,0.016666666666666666
0.78541106,3260.0,162,16300.0,0.10174755,0.24206312,0.18476789,0.18189318,-20.534033,0.79195714,0.03333333333333333,0.013333333333333334
0.7857142,3280.0,163,16400.0,0.1018764,0.28049555,0.18483263,0.18189405,-19.670366,0.87527436,0.008333333333333333,0.01
0.78601,3300.0,164,16500.0,0.10203102,0.23260511,0.18488504,0.18192421,-19.715782,1.387659,0.008333333333333333,0.0033333333333333335
0.7863565,3320.0,165,16600.0,0.10217744,0.24745886,0.18495019,0.18192549,-20.14994,1.006265,0.0,0.0
0.7866459,3340.0,166,16700.0,0.10231945,0.25222877,0.18501127,0.18197286,-21.349197,1.1938372,0.008333333333333333,0.006666666666666667
0.7869911,3360.0,167,16800.0,0.10242146,0.22773121,0.18507421,0.18200119,-20.198788,0.61927027,0.008333333333333333,0.0033333333333333335
0.787369,3380.0,168,16900.0,0.102507316,0.23397164,0.185149,0.18198837,-21.849329,0.899102,0.008333333333333333,0.0033333333333333335
0.78772163,3400.0,169,17000.0,0.10258275,0.23930769,0.18522282,0.18193789,-21.187834,1.4150791,0.025000000000000005,0.0016666666666666668
0.7880053,3420.0,170,17100.0,0.10265688,0.24151878,0.18527733,0.1819147,-19.613409,0.76283675,0.03333333333333333,0.011666666666666667
0.78829765,3440.0,171,17200.0,0.10276403,0.19912106,0.18532328,0.18190016,-18.768684,1.1337215,0.06666666666666667,0.006666666666666667
0.7885623,3460.0,172,17300.0,0.10285464,0.2395847,0.18537359,0.18189253,-20.73733,0.84000725,0.025000000000000005,0.01
0.78878385,3480.0,173,17400.0,0.10294825,0.23315889,0.18540967,0.18188138,-19.594141,1.6441156,0.008333333333333333,0.005
0.7890124,3500.0,174,17500.0,0.10306705,0.24557878,0.18543734,0.1818896,-20.686028,1.1486672,0.016666666666666666,0.01
0.78923494,3520.0,175,17600.0,0.103206486,0.24887334,0.18546261,0.18190052,-20.953863,0.74825317,0.025000000000000005,0.01
0.7893757,3540.0,176,17700.0,0.10332056,0.2720119,0.18547882,0.18192196,-20.735247,0.80458313,0.03333333333333333,0.013333333333333334
0.7895658,3560.0,177,17800.0,0.10348317,0.3193249,0.18551141,0.18197048,-22.291939,0.9485669,0.016666666666666666,0.0033333333333333335
0.78981286,3580.0,178,17900.0,0.10363176,0.23804438,0.18555267,0.1820004,-18.641727,1.3747754,0.025000000000000005,0.005
0.79007477,3600.0,179,18000.0,0.103714705,0.27193925,0.18560404,0.18196385,-18.667032,0.89391947,0.0,0.008333333333333333
0.79030925,3620.0,180,18100.0,0.10380731,0.21943545,0.18565063,0.18193965,-18.38447,0.95415527,0.0,0.0033333333333333335
0.7905466,3640.0,181,18200.0,0.10389915,0.28849906,0.18569924,0.18192525,-21.670702,1.2484975,0.008333333333333333,0.0016666666666666668
0.79080725,3660.0,182,18300.0,0.103965186,0.18620908,0.18574728,0.18187381,-18.669024,0.88954306,0.008333333333333333,0.008333333333333333
0.79099447,3680.0,183,18400.0,0.104034625,0.22763015,0.18578692,0.18185729,-20.880898,1.0182955,0.008333333333333333,0.0016666666666666668
0.7911889,3700.0,184,18500.0,0.104072504,0.24433243,0.18582946,0.18182169,-21.68537,0.92479986,0.016666666666666666,0.011666666666666667
0.79136866,3720.0,185,18600.0,0.1041,0.30003396,0.18585928,0.18182953,-22.355623,0.8535978,0.016666666666666666,0.008333333333333333
0.7915191,3740.0,186,18700.0,0.10414487,0.23959136,0.18589099,0.18183267,-21.622213,1.8187062,0.008333333333333333,0.008333333333333333
0.79163235,3760.0,187,18800.0,0.10421691,0.24562037,0.18590862,0.18188928,-23.27564,1.6634941,0.025000000000000005,0.005
0.7917734,3780.0,188,18900.0,0.10424242,0.27128443,0.18593897,0.18186791,-23.725485,0.728635,0.041666666666666664,0.0033333333333333335
0.7918594,3800.0,189,19000.0,0.104274385,0.24077372,0.18595438,0.18187343,-22.143646,1.3134754,0.016666666666666666,0.01
0.79193634,3820.0,190,19100.0,0.10430495,0.27183935,0.18597049,0.18189342,-23.483526,0.87408686,0.025000000000000005,0.008333333333333333
0.79197377,3840.0,191,19200.0,0.10434974,0.26269722,0.18597753,0.18194209,-23.4346,0.818764,0.041666666666666664,0.01
0.7920243,3860.0,192,19300.0,0.10438371,0.25160244,0.18598431,0.18196869,-23.234879,0.8394968,0.008333333333333333,0.01
0.7920608,3880.0,193,19400.0,0.10445067,0.29026785,0.18599842,0.1820163,-25.01094,1.5099622,0.025000000000000005,0.015
0.7921052,3900.0,194,19500.0,0.10453745,0.26905045,0.18600626,0.1820786,-23.61312,2.1084385,0.05000000000000001,0.006666666666666667
0.79215235,3920.0,195,19600.0,0.10460463,0.24777943,0.18601663,0.1821714,-24.11883,1.0575393,0.041666666666666664,0.006666666666666667
0.7922124,3940.0,196,19700.0,0.104702406,0.245192,0.18602897,0.18223016,-23.610147,1.3130927,0.025000000000000005,0.013333333333333334
0.7923264,3960.0,197,19800.0,0.104723774,0.20213354,0.18606575,0.1822323,-22.033949,1.0319082,0.041666666666666664,0.006666666666666667
0.79242355,3980.0,198,19900.0,0.10479188,0.2059201,0.1860968,0.1822356,-22.71551,0.7325669,0.025000000000000005,0.008333333333333333
0.7924776,4000.0,199,20000.0,0.10487046,0.22826402,0.18612467,0.18227412,-24.012999,1.2170663,0.016666666666666666,0.013333333333333334
