test/mean_Q,test/episode,stats_o/std,train/critic_loss,test/success_rate,stats_o/mean,train/success_rate,epoch,train/episode,stats_g/std,stats_g/mean
-1.2673805,480.0,0.09158782,0.24714832,0.9833333333333334,0.20117985,0.9500000000000001,23,2400.0,0.07311232,0.8394885
-1.18459,500.0,0.09258076,0.22418833,1.0,0.20120163,0.9466666666666667,24,2500.0,0.07298269,0.83950526
-1.3221167,520.0,0.09373832,0.21644908,0.975,0.20129482,0.9633333333333333,25,2600.0,0.07277408,0.83945745
-1.1659062,540.0,0.09424304,0.21474278,0.9833333333333334,0.2012467,0.9500000000000001,26,2700.0,0.07253612,0.8393717
-0.99291843,560.0,0.09490096,0.1998008,1.0,0.20129736,0.9633333333333333,27,2800.0,0.07235098,0.8393998
-1.0922519,580.0,0.09542402,0.24495156,1.0,0.20128481,0.965,28,2900.0,0.07204156,0.83933324
-1.1754321,600.0,0.09608398,0.22601967,1.0,0.2012934,0.955,29,3000.0,0.07189848,0.8392512
-0.99410564,620.0,0.096621476,0.22028027,1.0,0.20136048,0.9633333333333333,30,3100.0,0.07170097,0.83924055
-1.0624017,640.0,0.09700051,0.21023859,1.0,0.20140173,0.96,31,3200.0,0.07153172,0.8391226
-0.9920028,660.0,0.09741255,0.22520201,0.9833333333333334,0.2014349,0.9583333333333334,32,3300.0,0.07147919,0.83912784
-1.0078108,680.0,0.097660296,0.19311555,1.0,0.20147212,0.96,33,3400.0,0.07128798,0.83911467
-0.9778514,700.0,0.09804716,0.20494974,0.9916666666666667,0.20158403,0.9666666666666667,34,3500.0,0.07108875,0.8390987
-1.0391041,720.0,0.098389365,0.19254275,1.0,0.2016298,0.9666666666666667,35,3600.0,0.07098062,0.83912945
-1.0308115,740.0,0.098657094,0.2530516,0.9833333333333334,0.20164748,0.9700000000000001,36,3700.0,0.07087932,0.83916855
-1.3069228,760.0,0.09907814,0.17158718,0.9916666666666667,0.20171125,0.9683333333333333,37,3800.0,0.0707746,0.8391077
-1.0618281,780.0,0.09937095,0.1714518,0.9833333333333334,0.20178217,0.9683333333333334,38,3900.0,0.07056061,0.839113
-1.119131,800.0,0.09983172,0.213032,1.0,0.20186521,0.9550000000000001,39,4000.0,0.07045001,0.8391104
-1.0052342,820.0,0.100125514,0.16899014,0.9916666666666667,0.20182563,0.9649999999999999,40,4100.0,0.070426114,0.83903885
-1.0931077,840.0,0.10048758,0.1798951,0.9916666666666667,0.20181358,0.9499999999999998,41,4200.0,0.0704724,0.83906555
-1.2117339,860.0,0.10066601,0.1668104,0.9916666666666667,0.20188455,0.9683333333333334,42,4300.0,0.07033715,0.8390464
-1.0688752,880.0,0.10083905,0.21024013,0.9916666666666667,0.20191957,0.9533333333333333,43,4400.0,0.07031651,0.8390581
-0.9423955,900.0,0.1011728,0.17644338,1.0,0.20199627,0.9566666666666667,44,4500.0,0.070309944,0.83904344
-1.1887437,920.0,0.10149228,0.16271071,0.9833333333333334,0.20202911,0.9433333333333334,45,4600.0,0.070257016,0.8390117
-1.089543,940.0,0.10180191,0.18412454,0.9916666666666667,0.2020191,0.96,46,4700.0,0.07022958,0.83895797
-1.0189977,960.0,0.10202851,0.18681903,1.0,0.20203447,0.9616666666666666,47,4800.0,0.07008845,0.8389999
-0.9986258,980.0,0.10227931,0.18726128,0.975,0.20203657,0.9833333333333333,48,4900.0,0.06995095,0.8390252
-0.92793417,1000.0,0.10254247,0.23168488,0.9916666666666667,0.20208721,0.965,49,5000.0,0.06994393,0.83907765
