train/critic_loss,train/success_rate,train/reward_compute_count,test/ag_g_dist,test/success_rate,train/episode,test/episode,test/reward_compute_count,stats_g/std,stats_g/mean,stats_o/mean,stats_o/std,epoch,test/mean_Q
0.21068786,0.01,125000.0,0.89515644,0.025000000000000005,2500.0,500.0,25000.0,0.23398803,0.37866166,0.19933851,0.8141399,24,-23.502996
0.2121583,0.01,130000.0,1.0036664,0.016666666666666666,2600.0,520.0,26000.0,0.23424454,0.37866864,0.19945519,0.8173291,25,-25.39064
0.21948536,0.0016666666666666668,135000.0,0.9120346,0.008333333333333333,2700.0,540.0,27000.0,0.23428403,0.37863573,0.19947319,0.8202258,26,-23.860437
0.22940032,0.006666666666666667,140000.0,0.93872875,0.008333333333333333,2800.0,560.0,28000.0,0.23422568,0.37849894,0.19943519,0.8228956,27,-24.360825
0.22472088,0.005,145000.0,0.974092,0.008333333333333333,2900.0,580.0,29000.0,0.23415671,0.37852225,0.19933675,0.8254264,28,-25.132761
0.25903997,0.008333333333333333,150000.0,0.9662583,0.025000000000000005,3000.0,600.0,30000.0,0.2341594,0.3786396,0.19941537,0.827902,29,-25.22357
0.27775303,0.005,155000.0,0.8700092,0.016666666666666666,3100.0,620.0,31000.0,0.23418544,0.37842348,0.19935901,0.8304375,30,-23.810976
0.23043537,0.0033333333333333335,160000.0,0.884057,0.025000000000000005,3200.0,640.0,32000.0,0.23429738,0.37836406,0.19924541,0.8332049,31,-23.969772
0.23908888,0.011666666666666667,165000.0,0.93047625,0.03333333333333333,3300.0,660.0,33000.0,0.23425405,0.3784432,0.19907744,0.8359092,32,-25.201645
0.29407188,0.0033333333333333335,170000.0,0.95416856,0.008333333333333333,3400.0,680.0,34000.0,0.2342562,0.3784081,0.19887806,0.8387306,33,-25.53718
0.21210943,0.008333333333333333,175000.0,0.998352,0.016666666666666666,3500.0,700.0,35000.0,0.23425092,0.37831196,0.19871777,0.84125257,34,-26.478853
0.27086958,0.0033333333333333335,180000.0,0.8143242,0.025000000000000005,3600.0,720.0,36000.0,0.23419492,0.37804595,0.19866264,0.8438948,35,-22.587671
0.2312126,0.01,185000.0,0.7990659,0.025000000000000005,3700.0,740.0,37000.0,0.23410396,0.37799278,0.19860007,0.84623307,36,-22.434706
0.28191498,0.015,190000.0,0.83200455,0.03333333333333333,3800.0,760.0,38000.0,0.23405375,0.3779069,0.198592,0.8486274,37,-23.770782
0.24147625,0.01,195000.0,0.8770502,0.025000000000000005,3900.0,780.0,39000.0,0.23403485,0.37771013,0.1984734,0.85096246,38,-24.447031
