test/success_rate,epoch,train/success_rate,stats_o/std,stats_g/mean,test/mean_Q,stats_g/std,test/episode,stats_o/mean,train/critic_loss,train/episode
0.05833333333333334,25,0.06,0.050989408,0.8386156,-24.806925,0.060999896,520.0,0.20133525,0.09498515,2600.0
0.075,26,0.085,0.051210728,0.83854574,-24.811186,0.06101734,540.0,0.20132513,0.13771765,2700.0
0.11666666666666665,27,0.06333333333333334,0.051649105,0.8386245,-23.521357,0.060992643,560.0,0.20129009,0.0735457,2800.0
0.041666666666666664,28,0.05833333333333333,0.051730204,0.8385832,-27.133432,0.060993746,580.0,0.20128196,0.09262229,2900.0
0.05000000000000001,29,0.07666666666666666,0.05203286,0.8385244,-28.352972,0.0610145,600.0,0.20126532,0.096709125,3000.0
0.041666666666666664,30,0.075,0.052089494,0.83853674,-27.661982,0.06100824,620.0,0.20126961,0.06023917,3100.0
0.05833333333333334,31,0.06666666666666667,0.05201228,0.8384364,-28.496931,0.061030593,640.0,0.20128079,0.18066967,3200.0
0.075,32,0.07166666666666667,0.05203477,0.83846754,-27.829391,0.061020765,660.0,0.20131262,0.09544245,3300.0
0.049999999999999996,33,0.065,0.051942643,0.8384652,-29.561964,0.06101742,680.0,0.20134038,0.08607376,3400.0
0.06666666666666667,34,0.07666666666666667,0.05194977,0.8384891,-29.237661,0.061012957,700.0,0.2013086,0.071166165,3500.0
0.08333333333333333,35,0.07833333333333334,0.05210052,0.8385356,-29.5165,0.06106551,720.0,0.20132773,0.07906481,3600.0
0.06666666666666667,36,0.08166666666666667,0.05196641,0.8385957,-30.973083,0.061092917,740.0,0.20134552,0.13762511,3700.0
0.075,37,0.06,0.05218911,0.83855253,-31.598093,0.061064318,760.0,0.2013467,0.086532116,3800.0
0.10000000000000002,38,0.07166666666666667,0.052333068,0.8385594,-31.619781,0.06105471,780.0,0.20136291,0.086616404,3900.0
0.075,39,0.06999999999999999,0.052429985,0.83857036,-32.56133,0.06102777,800.0,0.20136513,0.12203192,4000.0
0.06666666666666667,40,0.09333333333333334,0.052554965,0.83852404,-31.18274,0.061050806,820.0,0.20135145,0.20758736,4100.0
0.025000000000000005,41,0.07,0.052584123,0.83857566,-35.113388,0.06103165,840.0,0.20135432,0.08599707,4200.0
0.09166666666666667,42,0.08333333333333333,0.05267538,0.83856875,-33.766415,0.061017837,860.0,0.20133905,0.36819848,4300.0
0.05833333333333333,43,0.075,0.052811727,0.8385959,-33.86268,0.061014984,880.0,0.20133422,0.10729075,4400.0
0.05833333333333333,44,0.05666666666666667,0.05304806,0.8386062,-33.14535,0.0610193,900.0,0.20134313,0.12585093,4500.0
0.03333333333333333,45,0.085,0.05332722,0.83857465,-33.867172,0.06103042,920.0,0.2013585,0.1251185,4600.0
0.041666666666666664,46,0.08666666666666667,0.053753376,0.83852834,-35.54936,0.06105354,940.0,0.20136736,0.11631904,4700.0
0.125,47,0.06,0.054098334,0.8385796,-32.486588,0.0610451,960.0,0.20137714,0.5443229,4800.0
0.06666666666666667,48,0.07666666666666667,0.05465148,0.83860254,-33.067623,0.061054558,980.0,0.2013774,0.15645695,4900.0
0.125,49,0.09666666666666668,0.054938193,0.83865714,-30.124153,0.061039243,1000.0,0.20140074,0.29495123,5000.0
