train/success_rate,test/reward_compute_count,train/episode,test/ag_g_dist,test/mean_Q,stats_o/mean,stats_g/std,test/episode,train/reward_compute_count,train/critic_loss,test/success_rate,epoch,stats_g/mean,stats_o/std
0.0,15000.0,1500.0,1.0118278,-20.43141,0.19329439,0.23626663,300.0,75000.0,0.13925405,0.0,14,0.3719493,0.80080104
0.0,16000.0,1600.0,0.8989633,-19.929836,0.19315547,0.23598869,320.0,80000.0,0.15344216,0.0,15,0.37222466,0.8060357
0.0,17000.0,1700.0,0.8982916,-20.232521,0.19316363,0.23588635,340.0,85000.0,0.14980721,0.008333333333333333,16,0.3724275,0.81102306
0.0016666666666666668,18000.0,1800.0,0.8695226,-19.836843,0.19301075,0.23556177,360.0,90000.0,0.15801659,0.016666666666666666,17,0.372389,0.8160097
0.0,19000.0,1900.0,0.86466044,-20.761972,0.19269116,0.23541097,380.0,95000.0,0.15778309,0.0,18,0.37199065,0.8206901
0.0,20000.0,2000.0,0.8322468,-20.507309,0.19230711,0.2351486,400.0,100000.0,0.15621044,0.0,19,0.37193915,0.826433
0.0,21000.0,2100.0,0.868495,-21.260248,0.19207501,0.23492466,420.0,105000.0,0.16481327,0.0,20,0.372048,0.8313451
0.0,22000.0,2200.0,0.8578475,-20.693409,0.19180422,0.23469095,440.0,110000.0,0.18015306,0.0,21,0.3720471,0.83577245
0.0016666666666666668,23000.0,2300.0,0.8686833,-21.35375,0.19162531,0.23436256,460.0,115000.0,0.17392349,0.008333333333333333,22,0.3724952,0.84053403
0.0033333333333333335,24000.0,2400.0,0.84075516,-21.540667,0.19120973,0.23417945,480.0,120000.0,0.18306325,0.008333333333333333,23,0.37275264,0.84506506
0.0,25000.0,2500.0,0.71362704,-18.845467,0.1906805,0.23391984,500.0,125000.0,0.2394899,0.0,24,0.37268385,0.84960335
0.0033333333333333335,26000.0,2600.0,0.88256437,-22.643478,0.19020884,0.23374434,520.0,130000.0,0.21854353,0.016666666666666666,25,0.37281194,0.8538558
0.0,27000.0,2700.0,0.80331326,-20.968039,0.18977469,0.23350954,540.0,135000.0,0.17650497,0.008333333333333333,26,0.37300906,0.85771114
0.0016666666666666668,28000.0,2800.0,0.7508661,-19.187895,0.18944167,0.23322098,560.0,140000.0,0.20847881,0.008333333333333333,27,0.37317896,0.8615463
0.0016666666666666668,29000.0,2900.0,0.7541159,-19.940746,0.18901531,0.23297207,580.0,145000.0,0.20371401,0.0,28,0.37329945,0.8654298
0.0033333333333333335,30000.0,3000.0,0.8200588,-21.907686,0.1888346,0.2327826,600.0,150000.0,0.24312733,0.0,29,0.37353012,0.86910677
0.005,31000.0,3100.0,0.68540305,-18.671085,0.18855111,0.23265208,620.0,155000.0,0.23361039,0.016666666666666666,30,0.37338766,0.87260216
0.0033333333333333335,32000.0,3200.0,0.68884516,-18.963182,0.1882786,0.23258723,640.0,160000.0,0.21357815,0.0,31,0.3734947,0.8760469
0.0016666666666666668,33000.0,3300.0,0.77117896,-20.328726,0.18798395,0.23239787,660.0,165000.0,0.24440837,0.0,32,0.3737128,0.879401
0.005,34000.0,3400.0,0.7907354,-21.219263,0.18773913,0.23220487,680.0,170000.0,0.21746068,0.008333333333333333,33,0.37370047,0.88275576
0.005,35000.0,3500.0,0.8051562,-20.621658,0.18755032,0.2320153,700.0,175000.0,0.4672862,0.016666666666666666,34,0.37371764,0.88600093
0.005,36000.0,3600.0,0.6540374,-17.831284,0.18726392,0.23182254,720.0,180000.0,0.32743028,0.025000000000000005,35,0.37362,0.88933855
0.005,37000.0,3700.0,0.6509252,-17.855873,0.18706268,0.23160686,740.0,185000.0,0.19398332,0.008333333333333333,36,0.37373182,0.89241356
0.005,38000.0,3800.0,0.7002298,-19.34649,0.18687202,0.23132743,760.0,190000.0,0.20802094,0.016666666666666666,37,0.37372026,0.89562637
0.0033333333333333335,39000.0,3900.0,0.7032974,-18.112799,0.18664475,0.23108964,780.0,195000.0,0.23404284,0.016666666666666666,38,0.3736658,0.8985229
0.0016666666666666668,40000.0,4000.0,0.7712884,-20.736479,0.18647791,0.23082764,800.0,200000.0,0.252916,0.008333333333333333,39,0.3736262,0.9011912
0.008333333333333333,41000.0,4100.0,0.6749627,-18.524916,0.18632329,0.23052461,820.0,205000.0,0.21967171,0.0,40,0.37371013,0.90407914
0.0033333333333333335,42000.0,4200.0,0.69095325,-17.253235,0.18610168,0.23030029,840.0,210000.0,0.29242697,0.008333333333333333,41,0.37387702,0.90661746
0.0033333333333333335,43000.0,4300.0,0.66807795,-17.871523,0.18579601,0.23020367,860.0,215000.0,0.25114045,0.016666666666666666,42,0.37382582,0.90887856
0.006666666666666667,44000.0,4400.0,0.699022,-17.78007,0.18552853,0.23000126,880.0,220000.0,0.2501034,0.008333333333333333,43,0.37372294,0.91132325
0.0016666666666666668,45000.0,4500.0,0.62437516,-16.220087,0.18537205,0.22983766,900.0,225000.0,0.23234098,0.025000000000000005,44,0.37370324,0.9137724
0.0033333333333333335,46000.0,4600.0,0.6989667,-17.522545,0.18524192,0.22972257,920.0,230000.0,0.24152844,0.0,45,0.37365508,0.91588354
0.005,47000.0,4700.0,0.64043593,-16.289923,0.18503492,0.22957061,940.0,235000.0,0.24071224,0.008333333333333333,46,0.37355193,0.9180124
0.0033333333333333335,48000.0,4800.0,0.7331447,-17.586723,0.1849129,0.22943617,960.0,240000.0,0.21979968,0.016666666666666666,47,0.3735592,0.9202866
0.0033333333333333335,49000.0,4900.0,0.7339308,-18.597717,0.1847523,0.22932212,980.0,245000.0,0.23060878,0.016666666666666666,48,0.37368324,0.92231387
0.005,50000.0,5000.0,0.63769734,-16.711618,0.1845993,0.22927165,1000.0,250000.0,0.23859514,0.025000000000000005,49,0.37357536,0.92418545
0.006666666666666667,51000.0,5100.0,0.69669133,-16.362076,0.18448122,0.22912763,1020.0,255000.0,0.2410359,0.049999999999999996,50,0.37359717,0.9259515
0.015,52000.0,5200.0,0.6466413,-15.774194,0.18432344,0.22900462,1040.0,260000.0,0.25149605,0.016666666666666666,51,0.37361905,0.9276559
0.0,53000.0,5300.0,0.70772356,-17.518606,0.18421109,0.22894098,1060.0,265000.0,0.22767472,0.041666666666666664,52,0.37363663,0.9292392
0.0016666666666666668,54000.0,5400.0,0.6509569,-15.327519,0.18411346,0.22882994,1080.0,270000.0,0.22106649,0.05833333333333333,53,0.3736213,0.9307191
0.005,55000.0,5500.0,0.5680893,-14.523468,0.18395443,0.2286823,1100.0,275000.0,0.26384026,0.03333333333333333,54,0.3736249,0.9322257
0.0016666666666666668,56000.0,5600.0,0.648301,-15.815242,0.18377976,0.22853933,1120.0,280000.0,0.23854347,0.025000000000000005,55,0.37364697,0.9337241
0.006666666666666667,57000.0,5700.0,0.6544104,-15.584522,0.1836757,0.22847189,1140.0,285000.0,0.2560023,0.03333333333333333,56,0.37380728,0.9351346
0.011666666666666667,58000.0,5800.0,0.672709,-17.205154,0.18362617,0.22839816,1160.0,290000.0,0.23453538,0.008333333333333333,57,0.37394476,0.9366433
0.008333333333333333,59000.0,5900.0,0.5243216,-13.350839,0.18359333,0.22831607,1180.0,295000.0,0.29116857,0.041666666666666664,58,0.37397256,0.93806106
0.006666666666666667,60000.0,6000.0,0.6063441,-15.314594,0.18347156,0.22831345,1200.0,300000.0,0.19838183,0.05000000000000001,59,0.37405443,0.939498
