stats_o/mean,stats_g/mean,test/ag_g_dist,stats_g/std,train/episode,stats_o/std,test/mean_Q,test/episode,train/success_rate,epoch,test/success_rate,train/critic_loss
0.2000653,0.38112316,0.8015558,0.23172021,2000.0,0.82260996,-23.057587,400.0,0.07666666666666667,19,0.19166666666666665,0.2934645
0.20006265,0.38117656,0.824245,0.23158334,2100.0,0.82808155,-23.562506,420.0,0.09666666666666668,20,0.2333333333333333,0.32288805
0.20010303,0.38127103,0.8182304,0.23187383,2200.0,0.83317703,-24.726015,440.0,0.07833333333333332,21,0.18333333333333335,0.3256813
0.20005079,0.38152042,0.80282384,0.23202716,2300.0,0.8380626,-24.945929,460.0,0.09666666666666668,22,0.15833333333333333,0.35591277
0.19986157,0.38155255,0.7199304,0.2319311,2400.0,0.84329915,-21.816505,480.0,0.10833333333333335,23,0.275,0.38898602
0.19967802,0.3817381,0.69701767,0.23174591,2500.0,0.8484767,-21.39736,500.0,0.12166666666666666,24,0.25833333333333336,0.44860813
0.19956975,0.3817675,0.67953134,0.23153667,2600.0,0.85339683,-21.142931,520.0,0.09666666666666668,25,0.2916666666666667,0.3394657
0.19932126,0.3816059,0.69850063,0.2314055,2700.0,0.85808223,-21.941055,540.0,0.12666666666666668,26,0.2833333333333333,0.33137628
0.1991878,0.38165864,0.67798805,0.2312199,2800.0,0.8627465,-21.74685,560.0,0.15,27,0.3333333333333333,0.36719033
0.19891821,0.3817459,0.57193965,0.23098896,2900.0,0.8675904,-19.134148,580.0,0.135,28,0.39166666666666666,0.35871556
0.19869117,0.38163015,0.55729187,0.23083149,3000.0,0.8722372,-18.09869,600.0,0.14500000000000002,29,0.3666666666666667,0.40567586
0.19853634,0.38187218,0.5782065,0.23060746,3100.0,0.8763692,-19.446894,620.0,0.15166666666666667,30,0.4083333333333334,0.44259027
0.19833916,0.38182783,0.65150946,0.23070575,3200.0,0.88031435,-21.540197,640.0,0.135,31,0.3333333333333333,0.49904433
0.1982088,0.38180766,0.57551473,0.23047076,3300.0,0.88430244,-19.40106,660.0,0.13,32,0.3666666666666667,0.46488297
0.19795257,0.38186064,0.5615807,0.23026173,3400.0,0.8880555,-19.668983,680.0,0.17333333333333334,33,0.3666666666666667,0.50738984
0.1976598,0.38203493,0.4849384,0.23002921,3500.0,0.89147097,-16.033012,700.0,0.16,34,0.375,0.4744037
0.19747211,0.3819511,0.54437613,0.22980927,3600.0,0.8948901,-18.031406,720.0,0.15,35,0.4000000000000001,0.46445355
0.19724508,0.38200477,0.50170994,0.22945537,3700.0,0.8981345,-17.34535,740.0,0.17,36,0.5166666666666667,0.47426334
0.19711868,0.38225427,0.43947458,0.2291783,3800.0,0.9011817,-15.454079,760.0,0.16833333333333333,37,0.4916666666666667,0.51997185
0.19702913,0.38233766,0.61491823,0.22895215,3900.0,0.9041162,-21.68303,780.0,0.17666666666666667,38,0.35833333333333334,0.53290474
0.19689946,0.38238588,0.52377534,0.22873537,4000.0,0.90675193,-18.021482,800.0,0.15333333333333335,39,0.4166666666666667,0.48064578
0.19684355,0.382413,0.4268632,0.22845833,4100.0,0.909595,-14.361806,820.0,0.18833333333333332,40,0.5583333333333333,0.5250719
0.19673683,0.3824807,0.5225398,0.2281958,4200.0,0.91198844,-19.033562,840.0,0.21333333333333335,41,0.4083333333333334,0.46640494
0.19663842,0.38270435,0.46184874,0.22795983,4300.0,0.91437453,-15.704547,860.0,0.19166666666666668,42,0.5166666666666667,0.5230348
0.19652595,0.3829088,0.413128,0.227628,4400.0,0.91686314,-14.580356,880.0,0.205,43,0.5583333333333332,0.5230575
0.19636776,0.38296756,0.49869764,0.22737654,4500.0,0.9192441,-17.468906,900.0,0.205,44,0.45,0.4833838
0.19623224,0.38296077,0.43963262,0.22722445,4600.0,0.9214711,-14.49652,920.0,0.20166666666666666,45,0.5750000000000001,0.482336
0.19614159,0.3829793,0.50096893,0.22705913,4700.0,0.9233673,-16.87441,940.0,0.22833333333333336,46,0.5,0.48763362
0.19601917,0.38308048,0.42956567,0.22684176,4800.0,0.9254985,-15.384917,960.0,0.19499999999999998,47,0.5583333333333333,0.4941078
0.19586807,0.38308445,0.41738796,0.22679348,4900.0,0.9274359,-14.4691515,980.0,0.20166666666666666,48,0.5750000000000001,0.49655458
0.19570108,0.3831651,0.4815688,0.22656153,5000.0,0.92942476,-16.899511,1000.0,0.22999999999999998,49,0.5666666666666668,0.45400545
