train/episode,stats_o/std,epoch,test/episode,train/success_rate,stats_g/mean,stats_g/std,test/success_rate,test/mean_Q,stats_o/mean,train/critic_loss
4000.0,0.050265063,39,800.0,0.06666666666666667,0.83863974,0.06101932,0.075,-29.935797,0.2013895,2.3182766
4100.0,0.050152764,40,820.0,0.08833333333333333,0.8385854,0.061033193,0.06666666666666667,-28.432623,0.20137227,2.354605
4200.0,0.04996,41,840.0,0.07166666666666667,0.8386347,0.061022196,0.025000000000000005,-32.20759,0.20136644,1.8350267
4300.0,0.04989628,42,860.0,0.08333333333333333,0.83862996,0.061007813,0.09166666666666667,-30.451044,0.20137458,1.8089666
4400.0,0.049846724,43,880.0,0.08166666666666668,0.8386503,0.06100462,0.05833333333333333,-31.005732,0.20137875,1.1836644
4500.0,0.049761564,44,900.0,0.05333333333333334,0.8386509,0.06100926,0.06666666666666667,-30.832506,0.20138043,2.2737343
4600.0,0.049680788,45,920.0,0.07833333333333334,0.8386151,0.061018202,0.041666666666666664,-31.727583,0.20139201,2.2797968
4700.0,0.049573943,46,940.0,0.09166666666666667,0.8385741,0.061033055,0.041666666666666664,-33.158497,0.20138733,1.7640778
4800.0,0.049721807,47,960.0,0.065,0.838619,0.0610252,0.125,-31.207384,0.20139079,1.8525146
4900.0,0.049761295,48,980.0,0.085,0.83864933,0.061034784,0.06666666666666667,-31.344704,0.20139332,2.197652
5000.0,0.04973136,49,1000.0,0.09999999999999999,0.83871007,0.061021402,0.14166666666666666,-28.68222,0.20139365,1.7946571
