stats_o/mean,train/episode,train/critic_loss,train/success_rate,train/critic_addnl_loss,stats_g/std,test/episode,epoch,test/success_rate,test/mean_Q,stats_o/std,stats_g/mean
0.20231636,3500.0,0.052544545,0.9533333333333333,0.0,0.0734023,700.0,34,0.9916666666666667,-0.9668503,0.103495084,0.8402768
0.20243949,3600.0,0.12460966,0.9616666666666666,0.0,0.073274404,720.0,35,1.0,-1.0418133,0.10401559,0.8402981
0.20247902,3700.0,0.07363539,0.94,0.0,0.07320268,740.0,36,0.9833333333333334,-1.0666167,0.104311556,0.8403354
0.20249593,3800.0,0.06187426,0.9633333333333334,0.0,0.07294666,760.0,37,1.0,-1.1154615,0.10453532,0.8402672
0.20251293,3900.0,0.078278825,0.94,0.0,0.07271732,780.0,38,1.0,-1.0745987,0.104988575,0.8402594
0.20250632,4000.0,0.09039506,0.9616666666666666,0.0,0.0725076,800.0,39,0.9916666666666667,-1.0629703,0.105135314,0.84026235
0.20249158,4100.0,0.0765072,0.955,0.0,0.072415434,820.0,40,1.0,-0.98891765,0.10532371,0.8401923
0.20247827,4200.0,0.103919886,0.9583333333333334,0.0,0.07231742,840.0,41,0.9916666666666667,-1.0574611,0.10556521,0.8402243
0.20250928,4300.0,0.059851628,0.945,0.0,0.072148114,860.0,42,0.9916666666666667,-1.2397646,0.10568887,0.8402
0.20250525,4400.0,0.15242098,0.9500000000000001,0.0,0.07205953,880.0,43,0.9916666666666667,-1.0580221,0.10594907,0.8401901
0.20253368,4500.0,0.15606882,0.9466666666666667,0.0,0.071939655,900.0,44,1.0,-0.995279,0.106129326,0.84016323
0.20252632,4600.0,0.09108227,0.9550000000000001,0.0,0.07192641,920.0,45,0.9916666666666667,-1.0782515,0.106349945,0.840107
0.20251869,4700.0,0.09461802,0.9516666666666667,0.0,0.07190594,940.0,46,1.0,-1.0488639,0.106640756,0.8400517
0.20247917,4800.0,0.040420506,0.96,0.0,0.07185809,960.0,47,0.9916666666666667,-1.112533,0.10677894,0.84005886
0.20251928,4900.0,0.053739954,0.96,0.0,0.07174862,980.0,48,0.9916666666666667,-1.2081203,0.106847584,0.84007293
0.20255025,5000.0,0.10344168,0.9683333333333333,0.0,0.0716004,1000.0,49,1.0,-0.93946415,0.10695001,0.84011644
