epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,test/episode,stats_g/mean,train/success_rate,train/episode,stats_o/std,train/critic_loss,test/ag_g_dist
26,-27.22821,0.19635546,0.025000000000000005,0.23772907,540.0,0.38635293,0.01,2700.0,0.8323795,0.10026538,0.5560153
27,-27.432306,0.19635564,0.041666666666666664,0.2374274,560.0,0.38685092,0.013333333333333334,2800.0,0.83615893,0.11077241,0.5603607
28,-30.49005,0.1963516,0.041666666666666664,0.23700602,580.0,0.38726965,0.008333333333333333,2900.0,0.8398405,0.10923084,0.642525
29,-30.193115,0.19632465,0.09166666666666667,0.23665334,600.0,0.38734213,0.011666666666666667,3000.0,0.84265083,0.109608255,0.619446
30,-33.621166,0.19636168,0.016666666666666666,0.23631938,620.0,0.38784602,0.011666666666666665,3100.0,0.8458604,0.105325006,0.67285234
31,-29.662329,0.19626938,0.05000000000000001,0.23607276,640.0,0.3880866,0.011666666666666667,3200.0,0.8486045,0.11634788,0.5480797
32,-31.504007,0.19618471,0.05833333333333334,0.23586087,660.0,0.3880187,0.006666666666666667,3300.0,0.8512953,0.12236917,0.5680313
33,-32.89232,0.19609433,0.025000000000000005,0.23554145,680.0,0.38841614,0.015,3400.0,0.85411614,0.118852116,0.61043584
34,-32.601498,0.1960574,0.05000000000000001,0.23523585,700.0,0.38867518,0.02,3500.0,0.85642403,0.11087734,0.62245065
35,-34.248093,0.19609876,0.016666666666666666,0.23502924,720.0,0.388953,0.013333333333333334,3600.0,0.858574,0.12924305,0.6177041
36,-31.700127,0.19610412,0.11666666666666665,0.2348165,740.0,0.38912725,0.02,3700.0,0.86080956,0.1304757,0.52738255
37,-34.107574,0.19606657,0.05833333333333334,0.23463579,760.0,0.38930464,0.008333333333333333,3800.0,0.8631329,0.11539864,0.5684026
38,-34.518414,0.19606145,0.03333333333333333,0.23451294,780.0,0.38955298,0.01,3900.0,0.86524755,0.10009066,0.61290735
39,-36.093826,0.1961586,0.05000000000000001,0.23436438,800.0,0.38950482,0.013333333333333334,4000.0,0.8670122,0.1380052,0.59978527
40,-33.0443,0.19614907,0.03333333333333333,0.23411386,820.0,0.38969064,0.011666666666666665,4100.0,0.86896163,0.1161202,0.5361268
41,-32.762,0.1961598,0.075,0.23387246,840.0,0.38991117,0.013333333333333334,4200.0,0.87083083,0.11762619,0.5988342
42,-33.78347,0.19626343,0.06666666666666667,0.23379958,860.0,0.39015648,0.011666666666666667,4300.0,0.87243956,0.12747817,0.54060704
43,-38.517258,0.19628866,0.025000000000000005,0.23365979,880.0,0.3904163,0.011666666666666667,4400.0,0.8741476,0.14534079,0.6742483
44,-36.95845,0.19627516,0.016666666666666666,0.23347361,900.0,0.3904662,0.015,4500.0,0.8757246,0.111255385,0.60152715
45,-38.59008,0.19621928,0.05000000000000001,0.23337607,920.0,0.39052495,0.015000000000000001,4600.0,0.8771736,0.12277347,0.5613644
