stats_g/std,test/mean_Q,stats_o/std,stats_o/mean,train/episode,train/success_rate,epoch,stats_g/mean,test/ag_g_dist,test/episode,test/success_rate,train/critic_loss
0.23026173,-19.668983,0.8880555,0.19795257,3400.0,0.17333333333333334,33,0.38186064,0.5615807,680.0,0.3666666666666667,0.50738984
0.23002921,-16.033012,0.89147097,0.1976598,3500.0,0.16,34,0.38203493,0.4849384,700.0,0.375,0.4744037
0.22980927,-18.031406,0.8948901,0.19747211,3600.0,0.15,35,0.3819511,0.54437613,720.0,0.4000000000000001,0.46445355
0.22945537,-17.34535,0.8981345,0.19724508,3700.0,0.17,36,0.38200477,0.50170994,740.0,0.5166666666666667,0.47426334
0.2291783,-15.454079,0.9011817,0.19711868,3800.0,0.16833333333333333,37,0.38225427,0.43947458,760.0,0.4916666666666667,0.51997185
0.22895215,-21.68303,0.9041162,0.19702913,3900.0,0.17666666666666667,38,0.38233766,0.61491823,780.0,0.35833333333333334,0.53290474
0.22873537,-18.021482,0.90675193,0.19689946,4000.0,0.15333333333333335,39,0.38238588,0.52377534,800.0,0.4166666666666667,0.48064578
0.22845833,-14.361806,0.909595,0.19684355,4100.0,0.18833333333333332,40,0.382413,0.4268632,820.0,0.5583333333333333,0.5250719
0.2281958,-19.033562,0.91198844,0.19673683,4200.0,0.21333333333333335,41,0.3824807,0.5225398,840.0,0.4083333333333334,0.46640494
0.22795983,-15.704547,0.91437453,0.19663842,4300.0,0.19166666666666668,42,0.38270435,0.46184874,860.0,0.5166666666666667,0.5230348
0.227628,-14.580356,0.91686314,0.19652595,4400.0,0.205,43,0.3829088,0.413128,880.0,0.5583333333333332,0.5230575
0.22737654,-17.468906,0.9192441,0.19636776,4500.0,0.205,44,0.38296756,0.49869764,900.0,0.45,0.4833838
0.22722445,-14.49652,0.9214711,0.19623224,4600.0,0.20166666666666666,45,0.38296077,0.43963262,920.0,0.5750000000000001,0.482336
0.22705913,-16.87441,0.9233673,0.19614159,4700.0,0.22833333333333336,46,0.3829793,0.50096893,940.0,0.5,0.48763362
0.22684176,-15.384917,0.9254985,0.19601917,4800.0,0.19499999999999998,47,0.38308048,0.42956567,960.0,0.5583333333333333,0.4941078
0.22679348,-14.4691515,0.9274359,0.19586807,4900.0,0.20166666666666666,48,0.38308445,0.41738796,980.0,0.5750000000000001,0.49655458
0.22656153,-16.899511,0.92942476,0.19570108,5000.0,0.22999999999999998,49,0.3831651,0.4815688,1000.0,0.5666666666666668,0.45400545
