stats_o/mean,train/episode,stats_g/mean,train/critic_loss,test/episode,stats_o/std,epoch,test/ag_g_dist,train/success_rate,test/mean_Q,stats_g/std,test/success_rate
0.17856197,6700.0,0.753516,0.95577127,1340.0,0.082967274,66,0.41012952,0.0016666666666666668,-35.998356,0.16335334,0.0
0.17859729,6800.0,0.7537096,0.7946809,1360.0,0.08337084,67,0.40885243,0.0,-35.022934,0.16392228,0.0
0.17863147,6900.0,0.75386983,0.5055117,1380.0,0.08383912,68,0.43451345,0.0,-35.915043,0.16454308,0.0
0.1786812,7000.0,0.7540466,0.41906896,1400.0,0.08441433,69,0.45351446,0.0,-36.086914,0.1653048,0.0
0.17873138,7100.0,0.7541647,1.7615824,1420.0,0.084990494,70,0.44412908,0.0016666666666666668,-35.42813,0.16632129,0.008333333333333333
0.17878358,7200.0,0.7544308,0.63322437,1440.0,0.08558289,71,0.44710708,0.0,-35.24043,0.16715622,0.0
0.1788935,7300.0,0.7548661,0.9273551,1460.0,0.08607181,72,0.45023534,0.0,-34.898525,0.16801105,0.0
0.1789871,7400.0,0.7552828,0.657317,1480.0,0.08652703,73,0.41343212,0.0033333333333333335,-31.879904,0.16870417,0.0
0.17908615,7500.0,0.75567985,0.49531305,1500.0,0.08680559,74,0.39737272,0.0,-32.629856,0.16935687,0.0
0.17914598,7600.0,0.7561143,0.5840099,1520.0,0.087066084,75,0.39283514,0.0033333333333333335,-31.709612,0.16995795,0.0
0.17926294,7700.0,0.7567145,0.66228867,1540.0,0.087299384,76,0.3600565,0.0016666666666666668,-33.215115,0.17049499,0.0
0.17934258,7800.0,0.7573343,1.0250918,1560.0,0.08754297,77,0.39728704,0.0016666666666666668,-32.120453,0.1708305,0.008333333333333333
0.17941882,7900.0,0.7577966,0.6436756,1580.0,0.08768729,78,0.3559827,0.0016666666666666668,-32.24089,0.17118518,0.0
0.17946865,8000.0,0.7582686,1.0222002,1600.0,0.087894164,79,0.40838686,0.0033333333333333335,-32.249054,0.17157091,0.008333333333333333
0.17950945,8100.0,0.7586644,0.8132041,1620.0,0.08809886,80,0.38554955,0.0033333333333333335,-30.588938,0.17185755,0.0
0.17956012,8200.0,0.75903255,0.65721035,1640.0,0.088167466,81,0.42612877,0.0016666666666666668,-33.515305,0.17189114,0.0
0.17957497,8300.0,0.7592947,0.7239056,1660.0,0.0881412,82,0.4121875,0.0,-32.14757,0.17187506,0.0
0.17959099,8400.0,0.7595734,0.9936309,1680.0,0.08816633,83,0.42318174,0.0,-31.698713,0.17190123,0.008333333333333333
0.1795965,8500.0,0.75978357,0.53547966,1700.0,0.08820916,84,0.4001371,0.0033333333333333335,-32.75018,0.1720298,0.0
0.17958744,8600.0,0.75991225,0.6882537,1720.0,0.08825716,85,0.41843462,0.0,-30.91778,0.17201434,0.0
0.17960589,8700.0,0.7601188,0.77784395,1740.0,0.08826841,86,0.46567604,0.0016666666666666668,-31.598707,0.17197467,0.008333333333333333
0.17961806,8800.0,0.7602282,1.0573164,1760.0,0.08822765,87,0.465035,0.0,-32.09968,0.17183584,0.008333333333333333
0.17961562,8900.0,0.7603831,0.710094,1780.0,0.08819571,88,0.4755042,0.0,-33.509277,0.1717469,0.0
0.17961673,9000.0,0.7605612,0.62492555,1800.0,0.08821342,89,0.42053363,0.0016666666666666668,-31.166832,0.17161913,0.0
0.17962252,9100.0,0.7607525,0.37455967,1820.0,0.08824084,90,0.42384973,0.0016666666666666668,-31.00595,0.17157157,0.008333333333333333
0.17962237,9200.0,0.76082283,0.4168391,1840.0,0.08827641,91,0.40729567,0.0033333333333333335,-28.893972,0.17148167,0.016666666666666666
0.1796505,9300.0,0.76109,0.5506429,1860.0,0.088419884,92,0.3991369,0.0016666666666666668,-28.8892,0.1714013,0.0
0.17969616,9400.0,0.7613941,1.3437557,1880.0,0.08850088,93,0.40715125,0.0,-27.781675,0.17135133,0.0
0.17973067,9500.0,0.7616148,0.38168272,1900.0,0.08859328,94,0.42468587,0.0,-29.312912,0.17132305,0.0
0.17975505,9600.0,0.76184934,0.73697597,1920.0,0.08862909,95,0.38962117,0.0016666666666666668,-28.752722,0.17123957,0.0
0.17977579,9700.0,0.76203364,1.1320751,1940.0,0.08863973,96,0.38491884,0.0,-29.585337,0.17129762,0.0
0.17981918,9800.0,0.76231027,1.3817778,1960.0,0.08870312,97,0.38025665,0.0016666666666666668,-29.075006,0.17135835,0.0
0.17986262,9900.0,0.7625284,1.059018,1980.0,0.08871234,98,0.36758494,0.0016666666666666668,-28.872742,0.17135066,0.0
0.17990816,10000.0,0.7628743,0.47273716,2000.0,0.08871453,99,0.3518894,0.0,-28.597176,0.17128587,0.0
0.17996527,10100.0,0.76324195,0.39789557,2020.0,0.08871444,100,0.35088897,0.0,-29.468622,0.1713363,0.0
0.18002604,10200.0,0.7636962,0.95848703,2040.0,0.0886843,101,0.36191145,0.0033333333333333335,-28.778646,0.17130406,0.0
0.18007775,10300.0,0.76404375,0.5010962,2060.0,0.08865669,102,0.3448871,0.0016666666666666668,-29.72693,0.17133625,0.0
0.18011934,10400.0,0.7643834,0.7403295,2080.0,0.08865891,103,0.3400917,0.0033333333333333335,-29.856369,0.17146607,0.0
0.18016754,10500.0,0.7646447,1.104844,2100.0,0.08864383,104,0.42117238,0.0,-33.794613,0.1715191,0.0
0.18022327,10600.0,0.764888,1.0717455,2120.0,0.08860108,105,0.43994907,0.0033333333333333335,-32.134182,0.17154557,0.0
0.1802588,10700.0,0.76513,1.1132156,2140.0,0.08859294,106,0.4325901,0.0016666666666666668,-31.551626,0.17158872,0.0
0.18027389,10800.0,0.7652502,0.60790163,2160.0,0.08851548,107,0.3902931,0.0033333333333333335,-32.49715,0.17150354,0.0
0.18030773,10900.0,0.7655015,0.641579,2180.0,0.08849698,108,0.3837615,0.0,-32.05196,0.17154442,0.008333333333333333
0.1803109,11000.0,0.7656228,1.9870325,2200.0,0.088417254,109,0.40802217,0.0,-32.32131,0.17147571,0.0
0.18030362,11100.0,0.76568365,0.54711705,2220.0,0.08836784,110,0.40993562,0.0016666666666666668,-33.46487,0.171519,0.0
0.18032248,11200.0,0.76583666,0.5663354,2240.0,0.08830678,111,0.45632592,0.0033333333333333335,-33.856636,0.17149888,0.0
0.18031828,11300.0,0.76589966,0.7531803,2260.0,0.08828214,112,0.42506337,0.0033333333333333335,-33.193462,0.17151576,0.008333333333333333
0.18032388,11400.0,0.76593345,0.7040258,2280.0,0.088244595,113,0.43853614,0.0,-34.55986,0.17148274,0.008333333333333333
0.18032326,11500.0,0.7659828,0.5785525,2300.0,0.08818528,114,0.38636413,0.0016666666666666668,-33.113514,0.17151476,0.0
0.18032117,11600.0,0.76602787,0.59388924,2320.0,0.08812643,115,0.40224156,0.0,-33.169743,0.17152424,0.008333333333333333
0.1803328,11700.0,0.76608306,0.72599435,2340.0,0.08805666,116,0.40042683,0.0,-33.890453,0.17150082,0.0
0.18034418,11800.0,0.76609915,0.52674335,2360.0,0.08796269,117,0.44135094,0.0016666666666666668,-35.37273,0.17147009,0.0
0.18036537,11900.0,0.7661691,0.5829468,2380.0,0.087914385,118,0.38565007,0.0,-32.42497,0.1713893,0.0
0.18038206,12000.0,0.76626754,0.532717,2400.0,0.087810926,119,0.43273696,0.0,-34.886658,0.17130633,0.0
0.18039621,12100.0,0.7662911,1.3494121,2420.0,0.08778859,120,0.40874434,0.0016666666666666668,-34.74563,0.17132258,0.0
