train/reward_compute_count,train/critic_loss,test/success_rate,test/mean_Q,stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/ag_g_dist,test/reward_compute_count,epoch,stats_o/std,train/episode,test/episode
280000.0,0.18382847,0.13333333333333333,-24.03311,0.20843166,0.02,0.3695313,0.16722946,0.70554954,56000.0,55,0.8645225,5600.0,1120.0
285000.0,0.27030107,0.09166666666666667,-24.478067,0.208459,0.013333333333333334,0.36953637,0.1673435,0.75931644,57000.0,56,0.8652894,5700.0,1140.0
290000.0,0.23632896,0.11666666666666668,-26.323286,0.2084779,0.013333333333333334,0.36954078,0.16745757,0.80194837,58000.0,57,0.8661396,5800.0,1160.0
295000.0,0.2223223,0.09166666666666667,-23.804756,0.2085119,0.023333333333333334,0.36961958,0.16753523,0.7077408,59000.0,58,0.8669694,5900.0,1180.0
300000.0,0.17558692,0.11666666666666665,-23.166922,0.20856227,0.015000000000000001,0.3697184,0.16759808,0.69733363,60000.0,59,0.8676804,6000.0,1200.0
305000.0,0.19448079,0.125,-23.01906,0.20861496,0.021666666666666667,0.3698078,0.16770689,0.66653425,61000.0,60,0.86829585,6100.0,1220.0
310000.0,0.23514926,0.125,-23.920835,0.20862056,0.030000000000000002,0.3698775,0.1677988,0.7574989,62000.0,61,0.86902946,6200.0,1240.0
315000.0,0.23060906,0.18333333333333335,-25.906708,0.20866908,0.023333333333333334,0.370006,0.16791995,0.8105599,63000.0,62,0.8698557,6300.0,1260.0
320000.0,0.18353045,0.10000000000000002,-24.054148,0.20866394,0.018333333333333333,0.37005678,0.16809382,0.7371741,64000.0,63,0.87069875,6400.0,1280.0
325000.0,0.20729786,0.11666666666666665,-24.892298,0.20867114,0.023333333333333334,0.37016776,0.16827591,0.7610132,65000.0,64,0.871496,6500.0,1300.0
330000.0,0.19706409,0.10833333333333334,-26.135698,0.20867975,0.021666666666666667,0.37023148,0.16848095,0.7938132,66000.0,65,0.8722987,6600.0,1320.0
335000.0,0.18797581,0.13333333333333333,-23.65135,0.20866676,0.028333333333333335,0.37032244,0.16859798,0.70907646,67000.0,66,0.8732981,6700.0,1340.0
340000.0,0.20743917,0.10833333333333334,-23.107948,0.20865841,0.011666666666666665,0.37036195,0.16874935,0.70660144,68000.0,67,0.8741706,6800.0,1360.0
345000.0,0.21150039,0.10833333333333334,-23.624878,0.20863481,0.013333333333333334,0.37038794,0.16889803,0.7301814,69000.0,68,0.87485504,6900.0,1380.0
350000.0,0.21198909,0.125,-24.738068,0.2086782,0.023333333333333334,0.37045184,0.16901524,0.7574842,70000.0,69,0.875714,7000.0,1400.0
355000.0,0.21459891,0.14166666666666666,-23.574968,0.20870811,0.021666666666666667,0.37042618,0.16913636,0.734515,71000.0,70,0.87647367,7100.0,1420.0
360000.0,0.21032639,0.18333333333333335,-20.463451,0.20878433,0.018333333333333337,0.3704792,0.1693327,0.59298396,72000.0,71,0.87721306,7200.0,1440.0
365000.0,0.19144535,0.10833333333333332,-23.737867,0.20884423,0.028333333333333332,0.37043092,0.16950469,0.71339244,73000.0,72,0.8779311,7300.0,1460.0
370000.0,0.35074863,0.13333333333333333,-23.359129,0.20892435,0.025000000000000005,0.3704789,0.16962723,0.7307127,74000.0,73,0.87868476,7400.0,1480.0
375000.0,0.33211598,0.10833333333333334,-23.75911,0.2090408,0.023333333333333334,0.37054387,0.16978873,0.70410395,75000.0,74,0.87930256,7500.0,1500.0
380000.0,0.20928986,0.14166666666666666,-22.535528,0.2090947,0.018333333333333333,0.37058845,0.16990753,0.69714016,76000.0,75,0.8798125,7600.0,1520.0
385000.0,0.21156943,0.10000000000000002,-23.555405,0.20914291,0.018333333333333337,0.37059888,0.17002459,0.734008,77000.0,76,0.8802832,7700.0,1540.0
390000.0,0.2222204,0.09999999999999999,-24.11406,0.20920394,0.018333333333333333,0.37061694,0.17011185,0.76663566,78000.0,77,0.8808252,7800.0,1560.0
395000.0,0.38579178,0.125,-22.957808,0.20922829,0.011666666666666665,0.37066248,0.17019522,0.71241784,79000.0,78,0.8813502,7900.0,1580.0
400000.0,0.19124804,0.20000000000000004,-22.903824,0.20924531,0.03166666666666667,0.370711,0.17024703,0.74313825,80000.0,79,0.88195294,8000.0,1600.0
405000.0,0.18795235,0.11666666666666668,-23.715689,0.20926706,0.024999999999999998,0.37074915,0.17032059,0.7193055,81000.0,80,0.88251334,8100.0,1620.0
410000.0,0.2195437,0.18333333333333335,-22.170105,0.2093044,0.016666666666666666,0.3708172,0.1704296,0.68497247,82000.0,81,0.8829692,8200.0,1640.0
415000.0,0.33809412,0.09999999999999999,-24.411478,0.20932524,0.024999999999999998,0.37083158,0.17054157,0.7527864,83000.0,82,0.88360614,8300.0,1660.0
420000.0,0.20559017,0.19166666666666665,-21.931288,0.20940042,0.021666666666666667,0.37088823,0.17061074,0.6800232,84000.0,83,0.8842333,8400.0,1680.0
425000.0,0.1816376,0.13333333333333333,-23.557066,0.20940556,0.02,0.37098202,0.1706835,0.72098905,85000.0,84,0.8848036,8500.0,1700.0
430000.0,0.1856491,0.16666666666666666,-22.858416,0.20941883,0.025000000000000005,0.3710706,0.17074235,0.7168967,86000.0,85,0.88525146,8600.0,1720.0
435000.0,0.19085385,0.20833333333333334,-21.331575,0.2094122,0.016666666666666666,0.37109748,0.1708252,0.62520564,87000.0,86,0.8857279,8700.0,1740.0
440000.0,0.2315308,0.08333333333333333,-23.039656,0.20941104,0.035,0.3711742,0.17086239,0.7055261,88000.0,87,0.8862543,8800.0,1760.0
445000.0,0.2794484,0.2333333333333333,-20.028198,0.20943107,0.03166666666666667,0.37119487,0.17092593,0.6349365,89000.0,88,0.8865504,8900.0,1780.0
450000.0,0.28961447,0.18333333333333332,-22.257788,0.20943235,0.028333333333333332,0.3712349,0.17096007,0.65984285,90000.0,89,0.8868565,9000.0,1800.0
455000.0,0.21142244,0.13333333333333333,-22.313446,0.20945708,0.01,0.37125024,0.17101084,0.6688401,91000.0,90,0.8872866,9100.0,1820.0
460000.0,0.23706234,0.17499999999999996,-23.446161,0.20949614,0.018333333333333333,0.3712648,0.17107801,0.7391165,92000.0,91,0.88763714,9200.0,1840.0
465000.0,0.18364567,0.075,-24.632486,0.2095445,0.018333333333333337,0.3712767,0.17115442,0.6943793,93000.0,92,0.8880351,9300.0,1860.0
470000.0,0.48005566,0.13333333333333333,-23.9077,0.20954455,0.015,0.37133154,0.1712352,0.6911841,94000.0,93,0.88842577,9400.0,1880.0
475000.0,0.22120555,0.15833333333333333,-20.936485,0.20953469,0.023333333333333334,0.37137914,0.17128126,0.5876726,95000.0,94,0.8888135,9500.0,1900.0
