stats_g/mean,test/ag_g_dist,test/mean_Q,train/success_rate,train/critic_loss,train/reward_compute_count,test/success_rate,test/episode,stats_o/std,stats_o/mean,stats_g/std,train/episode,test/reward_compute_count,epoch
0.6791473,0.11777302,-43.63199,0.0,8.385012e-07,215000.0,0.0,860.0,0.6447502,0.32892928,0.016683789,4300.0,43000.0,42
0.6791582,0.118299164,-43.934437,0.0,6.2818326e-06,220000.0,0.0,880.0,0.64465123,0.32887644,0.016653983,4400.0,44000.0,43
0.6791648,0.11809639,-44.244923,0.0,1.0263386e-05,225000.0,0.0,900.0,0.6444812,0.32886913,0.016630186,4500.0,45000.0,44
0.67917186,0.118297465,-44.51595,0.0,4.3861323e-06,230000.0,0.0,920.0,0.6442797,0.32886928,0.016608475,4600.0,46000.0,45
0.6791783,0.11752268,-44.778156,0.0,1.3689697e-05,235000.0,0.0,940.0,0.6440873,0.32882985,0.016588839,4700.0,47000.0,46
0.6791861,0.11880765,-45.033558,0.0,8.026818e-06,240000.0,0.0,960.0,0.64388996,0.32882857,0.01656759,4800.0,48000.0,47
0.6791883,0.11789156,-45.268066,0.0,1.6620606e-05,245000.0,0.0,980.0,0.64385855,0.32878694,0.016548747,4900.0,49000.0,48
0.6791964,0.117969744,-45.490295,0.0,2.8635162e-05,250000.0,0.0,1000.0,0.64381343,0.3287999,0.016527055,5000.0,50000.0,49
0.6792018,0.11827528,-45.701756,0.0,1.3935439e-05,255000.0,0.0,1020.0,0.6436698,0.32878196,0.01650865,5100.0,51000.0,50
0.67920643,0.11899754,-45.916065,0.0,4.1481703e-06,260000.0,0.0,1040.0,0.6435894,0.3287873,0.016490784,5200.0,52000.0,51
0.6792123,0.118635334,-46.114655,0.0,8.057787e-06,265000.0,0.0,1060.0,0.6435069,0.32879937,0.016472325,5300.0,53000.0,52
0.67921704,0.118870735,-46.28694,0.0,5.9383965e-06,270000.0,0.0,1080.0,0.6433413,0.32879835,0.016457142,5400.0,54000.0,53
0.67922086,0.11780796,-46.46171,0.0,2.555163e-05,275000.0,0.0,1100.0,0.6431636,0.3288023,0.016438443,5500.0,55000.0,54
0.67922896,0.11740423,-46.63442,0.0,6.468675e-07,280000.0,0.0,1120.0,0.64303005,0.32879576,0.016423263,5600.0,56000.0,55
0.67923623,0.11725623,-46.781662,0.0,5.909939e-06,285000.0,0.0,1140.0,0.6429005,0.328828,0.016407343,5700.0,57000.0,56
0.6792402,0.11688584,-46.935673,0.0,9.199171e-06,290000.0,0.0,1160.0,0.6427618,0.3288026,0.016396161,5800.0,58000.0,57
0.67924374,0.11759772,-47.073284,0.0,2.8192922e-05,295000.0,0.0,1180.0,0.6427443,0.3288167,0.016378568,5900.0,59000.0,58
0.67924887,0.117126286,-47.20221,0.0,8.896324e-06,300000.0,0.0,1200.0,0.6426913,0.32881305,0.016364139,6000.0,60000.0,59
