test/mean_Q,epoch,test/episode,stats_g/std,train/critic_loss,train/success_rate,test/ag_g_dist,train/episode,stats_o/std,test/success_rate,stats_g/mean,stats_o/mean
-28.493933,40,820.0,0.10848209,0.7533717,0.07,0.20919041,4100.0,0.10122637,0.11666666666666665,0.84876174,0.20437928
-26.34002,41,840.0,0.10860103,0.71209794,0.05333333333333334,0.17448176,4200.0,0.10182875,0.15833333333333333,0.8486951,0.20439023
-28.432762,42,860.0,0.10854417,0.670194,0.08,0.18444252,4300.0,0.1022329,0.17500000000000002,0.8486803,0.2043453
-27.344482,43,880.0,0.10848876,1.032427,0.075,0.18507724,4400.0,0.102643795,0.19166666666666665,0.84864646,0.20430048
-29.384687,44,900.0,0.10845476,0.81697387,0.085,0.20467757,4500.0,0.103028156,0.19166666666666668,0.84858555,0.2043538
-26.810503,45,920.0,0.10842117,1.2451597,0.08333333333333333,0.18206668,4600.0,0.1034244,0.19166666666666665,0.84860516,0.20437305
-29.194427,46,940.0,0.10842536,0.81340176,0.08833333333333333,0.19465613,4700.0,0.1038722,0.11666666666666668,0.8485438,0.20433766
-27.873007,47,960.0,0.10832924,1.0778791,0.10333333333333335,0.18798916,4800.0,0.1042518,0.25833333333333336,0.84855795,0.20434658
-27.808374,48,980.0,0.10828108,0.8488431,0.11,0.19366229,4900.0,0.1046525,0.14166666666666666,0.8485181,0.2043193
-28.927706,49,1000.0,0.108201765,0.7548432,0.09833333333333334,0.19558989,5000.0,0.105015315,0.18333333333333335,0.84850216,0.20432805
-27.488317,50,1020.0,0.10818533,0.7318928,0.11499999999999999,0.18572795,5100.0,0.10537768,0.2916666666666667,0.8485511,0.20431574
-30.23446,51,1040.0,0.10821023,0.88206387,0.09499999999999999,0.21284626,5200.0,0.10575613,0.10833333333333334,0.8485379,0.2043124
-29.718203,52,1060.0,0.10820982,0.77020836,0.10000000000000002,0.20547642,5300.0,0.10605318,0.20833333333333334,0.84852093,0.20431633
-27.193872,53,1080.0,0.108269036,0.95580006,0.11833333333333333,0.18233776,5400.0,0.10649958,0.2916666666666667,0.84847873,0.20433645
-26.516745,54,1100.0,0.10831958,1.0725776,0.13166666666666668,0.19003813,5500.0,0.106941484,0.35000000000000003,0.84845096,0.20433934
-27.71044,55,1120.0,0.10834027,1.0550705,0.13,0.19006707,5600.0,0.10727846,0.20833333333333334,0.84851485,0.2043075
-27.22056,56,1140.0,0.10840588,0.658879,0.11,0.18379623,5700.0,0.107551515,0.25,0.8485233,0.20428978
-28.728342,57,1160.0,0.10842467,0.80103374,0.11166666666666668,0.18501596,5800.0,0.107774146,0.2583333333333333,0.8485823,0.20428921
-25.960318,58,1180.0,0.10841275,0.7689753,0.13166666666666668,0.18337996,5900.0,0.10795335,0.24166666666666667,0.84865475,0.20428441
-24.851873,59,1200.0,0.108359136,0.8726649,0.11499999999999999,0.17561412,6000.0,0.108257614,0.26666666666666666,0.8486994,0.20425491
-26.92102,60,1220.0,0.108368486,1.3559942,0.155,0.1752975,6100.0,0.10846258,0.25833333333333336,0.84868616,0.20420782
-25.065659,61,1240.0,0.108430274,1.0268724,0.14333333333333334,0.171405,6200.0,0.108800106,0.3499999999999999,0.8487155,0.20418078
-25.345358,62,1260.0,0.10841257,1.0091151,0.13166666666666668,0.17835622,6300.0,0.1090261,0.32499999999999996,0.8487707,0.20420404
-25.582563,63,1280.0,0.10835981,1.2634271,0.15333333333333332,0.17147584,6400.0,0.10923145,0.30833333333333335,0.84883624,0.20421511
-25.38485,64,1300.0,0.10827849,0.7786761,0.15833333333333335,0.17489652,6500.0,0.10938328,0.35833333333333334,0.8489054,0.20419483
-26.8211,65,1320.0,0.10830573,1.089928,0.17666666666666667,0.19882667,6600.0,0.109622605,0.375,0.8489404,0.20418774
-24.77884,66,1340.0,0.10824492,0.9311134,0.21333333333333335,0.16938818,6700.0,0.1096691,0.325,0.849005,0.20416285
-28.083221,67,1360.0,0.10819999,0.9336686,0.21666666666666665,0.19666159,6800.0,0.10967175,0.2833333333333334,0.84906095,0.20414995
-25.114187,68,1380.0,0.10812816,1.0807613,0.21166666666666667,0.18738736,6900.0,0.10972669,0.425,0.84907037,0.20412557
-25.91635,69,1400.0,0.1081369,1.2935743,0.24,0.1903059,7000.0,0.10979733,0.2916666666666667,0.8491135,0.20416133
-24.555563,70,1420.0,0.108028285,0.92523384,0.245,0.18318494,7100.0,0.109757416,0.4166666666666667,0.84916943,0.20417964
-20.74934,71,1440.0,0.10790294,1.0080266,0.26833333333333337,0.14649595,7200.0,0.109629214,0.5,0.8492422,0.20421796
-20.55113,72,1460.0,0.107776105,0.7276853,0.26,0.16499014,7300.0,0.10941181,0.4583333333333333,0.84931844,0.20425911
-18.909882,73,1480.0,0.107765146,1.2881916,0.24333333333333332,0.1446376,7400.0,0.10934618,0.5499999999999999,0.84932613,0.20428996
-15.110416,74,1500.0,0.10767263,1.0849513,0.26999999999999996,0.121509425,7500.0,0.10913584,0.5666666666666668,0.84937495,0.20432186
-22.01473,75,1520.0,0.10757422,1.3596061,0.25333333333333335,0.17246258,7600.0,0.108892,0.4666666666666666,0.8493795,0.20433275
-20.860332,76,1540.0,0.10749313,0.79662687,0.28833333333333333,0.16521035,7700.0,0.10868127,0.44166666666666665,0.84937996,0.20433329
-20.208921,77,1560.0,0.1074104,0.7242425,0.2916666666666667,0.16592133,7800.0,0.10844347,0.4583333333333333,0.84937376,0.20435481
-24.287918,78,1580.0,0.10728236,0.8832321,0.25833333333333336,0.20825756,7900.0,0.108263694,0.3833333333333333,0.8493714,0.20436902
-19.585623,79,1600.0,0.10718212,0.6510582,0.2733333333333334,0.1631528,8000.0,0.10802705,0.4916666666666667,0.8494002,0.20438741
-20.601656,80,1620.0,0.10718289,0.61488134,0.24500000000000002,0.1786531,8100.0,0.10785731,0.4916666666666667,0.84938484,0.20440477
-20.240412,81,1640.0,0.107260026,0.87992144,0.22833333333333336,0.1819178,8200.0,0.10769049,0.4416666666666667,0.84937066,0.20440769
-19.80707,82,1660.0,0.10736067,1.1728228,0.27,0.17292951,8300.0,0.10751837,0.5,0.8493352,0.2044156
-16.679527,83,1680.0,0.10752227,0.6481865,0.255,0.15735811,8400.0,0.107425295,0.5083333333333334,0.8493309,0.20440607
-18.14126,84,1700.0,0.10785166,0.58158475,0.27166666666666667,0.16202936,8500.0,0.10738502,0.49166666666666664,0.8491995,0.20436348
-17.663399,85,1720.0,0.10808492,0.70506525,0.26666666666666666,0.17920394,8600.0,0.1073759,0.45,0.84911925,0.2043532
-15.6889305,86,1740.0,0.10851934,0.6553187,0.27166666666666667,0.16145156,8700.0,0.107471734,0.5416666666666666,0.8490524,0.20434813
-13.805595,87,1760.0,0.10931676,0.505305,0.25166666666666665,0.15349397,8800.0,0.107797585,0.6166666666666667,0.84896904,0.20436084
-17.519459,88,1780.0,0.109537125,0.5762648,0.27666666666666667,0.18374348,8900.0,0.10797477,0.4666666666666666,0.8489704,0.20438068
-17.120321,89,1800.0,0.10962685,0.6157349,0.2233333333333333,0.17923768,9000.0,0.10788729,0.4583333333333333,0.8489712,0.20439367
-18.135899,90,1820.0,0.10973673,0.42444196,0.23666666666666666,0.19991012,9100.0,0.107743464,0.375,0.8489721,0.20439285
-18.432951,91,1840.0,0.10985432,0.57041526,0.24166666666666667,0.20130193,9200.0,0.10762372,0.39166666666666666,0.8489197,0.2043851
-18.269617,92,1860.0,0.10990844,0.7713487,0.2783333333333334,0.2049584,9300.0,0.10752484,0.4166666666666667,0.8488807,0.20437269
-15.412941,93,1880.0,0.10986812,0.5480041,0.2916666666666667,0.16238289,9400.0,0.10737807,0.4833333333333334,0.84884447,0.20437522
-17.415909,94,1900.0,0.110045515,0.62001246,0.24833333333333332,0.19170095,9500.0,0.10730342,0.4583333333333333,0.84874535,0.20434327
-15.356308,95,1920.0,0.110061266,0.43676853,0.2916666666666667,0.15883934,9600.0,0.10713717,0.5083333333333333,0.84872216,0.20434885
-15.978145,96,1940.0,0.11002732,0.63160306,0.27999999999999997,0.17034227,9700.0,0.10696145,0.5,0.84874034,0.2043521
-16.912111,97,1960.0,0.10999214,0.50073045,0.255,0.16376077,9800.0,0.106772415,0.4916666666666667,0.848767,0.20435494
-18.623411,98,1980.0,0.10995544,0.55181843,0.31,0.17594428,9900.0,0.106594086,0.425,0.84879494,0.20437036
-17.005463,99,2000.0,0.10993112,0.32640666,0.2833333333333334,0.166037,10000.0,0.10640635,0.5,0.8487659,0.20437245
