train/success_rate,train/critic_loss,test/episode,stats_g/std,train/episode,stats_o/mean,stats_g/mean,stats_o/std,test/success_rate,epoch,test/mean_Q,test/ag_g_dist
0.0033333333333333335,0.07249582,460.0,0.1756467,2300.0,0.2028597,0.35058975,0.78131264,0.10000000000000002,22,-27.422607,0.8242385
0.01,0.08154922,480.0,0.17624898,2400.0,0.20266986,0.35114405,0.78470826,0.19999999999999998,23,-26.198479,0.76884717
0.011666666666666667,0.05540191,500.0,0.1770098,2500.0,0.20255864,0.35150716,0.78768235,0.19999999999999998,24,-26.062979,0.7441514
0.015,0.087667204,520.0,0.17797928,2600.0,0.20262177,0.35202274,0.7907996,0.125,25,-27.439056,0.7162407
0.011666666666666667,0.09492433,540.0,0.17872345,2700.0,0.20255554,0.35252246,0.79414886,0.09999999999999999,26,-30.183619,0.76189727
0.011666666666666667,0.075888075,560.0,0.17941196,2800.0,0.20248298,0.35308805,0.7978175,0.18333333333333335,27,-27.608978,0.75396127
0.01,0.056841124,580.0,0.18014278,2900.0,0.20258932,0.3535014,0.8007218,0.17500000000000002,28,-27.600471,0.7137687
0.011666666666666667,0.07283045,600.0,0.18091528,3000.0,0.20256262,0.3538114,0.80392194,0.16666666666666666,29,-29.18006,0.7995948
0.006666666666666667,0.0714288,620.0,0.1814789,3100.0,0.20248611,0.35410383,0.8071696,0.21666666666666667,30,-28.081522,0.7538499
0.005,0.060300607,640.0,0.18202579,3200.0,0.20242049,0.35427627,0.80989474,0.13333333333333333,31,-31.435217,0.7660307
0.011666666666666667,0.05362768,660.0,0.18266083,3300.0,0.20252772,0.3545188,0.8125327,0.21666666666666667,32,-29.291697,0.7350116
0.008333333333333333,0.07613931,680.0,0.1831186,3400.0,0.20254476,0.35457334,0.8148484,0.125,33,-32.299725,0.7985649
0.013333333333333334,0.075020395,700.0,0.1837138,3500.0,0.20245741,0.35480973,0.81731206,0.041666666666666664,34,-36.700886,0.8470032
0.008333333333333333,0.085071534,720.0,0.18440922,3600.0,0.20251732,0.35494164,0.8197124,0.15,35,-30.086578,0.7165737
0.01,0.081981994,740.0,0.18496798,3700.0,0.2025791,0.35513666,0.8221256,0.12500000000000003,36,-34.242245,0.7938123
0.016666666666666666,0.058488224,760.0,0.18550612,3800.0,0.2026809,0.3552976,0.82426697,0.17500000000000002,37,-31.804083,0.74252635
0.01,0.12586622,780.0,0.18607028,3900.0,0.2026604,0.35539606,0.82634,0.17500000000000002,38,-32.41325,0.7923608
0.008333333333333333,0.15318574,800.0,0.18643264,4000.0,0.20266868,0.3554475,0.8284485,0.07500000000000001,39,-38.312878,0.9133301
0.008333333333333333,0.07252881,820.0,0.1869144,4100.0,0.20271055,0.3557538,0.83045715,0.10833333333333334,40,-33.311382,0.7842135
0.008333333333333333,0.057756137,840.0,0.18735516,4200.0,0.20275211,0.35599324,0.8323867,0.13333333333333333,41,-34.058758,0.7983322
0.01,0.071858816,860.0,0.1877539,4300.0,0.20292465,0.35635892,0.83417135,0.15833333333333333,42,-30.96785,0.7173001
0.01,0.082764976,880.0,0.18810098,4400.0,0.20306928,0.35676727,0.83588666,0.10833333333333334,43,-33.67687,0.7802213
0.013333333333333334,0.081894614,900.0,0.18836512,4500.0,0.20311789,0.35710278,0.83731484,0.16666666666666666,44,-31.279406,0.776046
0.015,0.09653076,920.0,0.18859208,4600.0,0.203193,0.35728762,0.83877474,0.17499999999999996,45,-30.833708,0.70739126
0.01,0.111032285,940.0,0.18885146,4700.0,0.20329171,0.35766557,0.84039897,0.125,46,-32.55894,0.76328486
0.011666666666666665,0.07225089,960.0,0.18914528,4800.0,0.2034056,0.35793206,0.84196,0.11666666666666668,47,-34.984375,0.8268916
0.006666666666666667,0.073732,980.0,0.18948568,4900.0,0.20353295,0.35807833,0.8435133,0.17499999999999996,48,-32.291218,0.76531416
0.013333333333333334,0.09326177,1000.0,0.18981726,5000.0,0.20369942,0.3582871,0.8452568,0.1416666666666667,49,-34.340374,0.7930477
