stats_o/mean,test/mean_Q,epoch,stats_g/mean,test/success_rate,train/critic_loss,stats_g/std,train/reward_compute_count,train/success_rate,stats_o/std,train/episode,test/episode,test/reward_compute_count,test/ag_g_dist
0.20352511,-6.410107,27,0.8478561,0.7916666666666666,0.05489093,0.104646534,140000.0,0.555,0.10899362,2800.0,560.0,28000.0,0.090375744
0.2036068,-5.4412284,28,0.848269,0.85,0.06545761,0.1048136,145000.0,0.535,0.109302394,2900.0,580.0,29000.0,0.07754993
0.20367424,-4.1344037,29,0.8485251,0.8916666666666666,0.052280683,0.105053864,150000.0,0.55,0.1096932,3000.0,600.0,30000.0,0.0622631
0.20389406,-5.1513596,30,0.8488248,0.8166666666666665,0.07037118,0.105518125,155000.0,0.5333333333333333,0.11024192,3100.0,620.0,31000.0,0.08072319
0.2038848,-4.0151024,31,0.84904546,0.8583333333333334,0.090084374,0.10570332,160000.0,0.5783333333333333,0.11058482,3200.0,640.0,32000.0,0.074689925
0.20393866,-2.9633505,32,0.84917116,0.9249999999999999,0.0536205,0.10594212,165000.0,0.5783333333333333,0.11082813,3300.0,660.0,33000.0,0.062458992
0.20406838,-3.0283954,33,0.8494079,0.9249999999999999,0.060889542,0.105960034,170000.0,0.57,0.11108121,3400.0,680.0,34000.0,0.064510606
0.2041425,-2.7485592,34,0.8495613,0.9083333333333332,0.08525758,0.10617743,175000.0,0.5850000000000001,0.11146802,3500.0,700.0,35000.0,0.06717262
0.20430821,-2.5138521,35,0.8498771,0.9083333333333333,0.044585735,0.10651443,180000.0,0.5399999999999999,0.11167139,3600.0,720.0,36000.0,0.067185774
0.20445125,-1.8556147,36,0.85006475,0.9499999999999998,0.15089886,0.10653534,185000.0,0.595,0.11178827,3700.0,740.0,37000.0,0.060680404
0.20455962,-1.5056711,37,0.85030144,0.9499999999999998,0.09295851,0.10670817,190000.0,0.5583333333333333,0.112040795,3800.0,760.0,38000.0,0.06324192
0.20459877,-1.5171055,38,0.8504105,0.9499999999999998,0.1144743,0.1067873,195000.0,0.5616666666666666,0.11223438,3900.0,780.0,39000.0,0.06168267
