train/success_rate,test/success_rate,stats_o/mean,test/ag_g_dist,stats_g/mean,stats_o/std,epoch,test/reward_compute_count,train/episode,stats_g/std,train/reward_compute_count,test/mean_Q,test/episode,train/critic_loss
0.005,0.03333333333333333,0.19607215,0.75091153,0.37444153,0.8445038,23,24000.0,2400.0,0.23376374,120000.0,-18.567713,480.0,0.07431504
0.005,0.03333333333333333,0.19558801,0.71580786,0.37440416,0.8494398,24,25000.0,2500.0,0.23340337,125000.0,-17.69899,500.0,0.077111505
0.011666666666666667,0.03333333333333333,0.19511266,0.7926882,0.3747432,0.8542066,25,26000.0,2600.0,0.2330544,130000.0,-19.83092,520.0,0.09666234
0.006666666666666667,0.041666666666666664,0.19457753,0.7444327,0.37488493,0.85850483,26,27000.0,2700.0,0.23277302,135000.0,-18.723608,540.0,0.096010566
0.005,0.041666666666666664,0.19415794,0.7226596,0.3749654,0.8627569,27,28000.0,2800.0,0.23238008,140000.0,-18.639997,560.0,0.094798185
0.013333333333333334,0.025000000000000005,0.19372106,0.7119133,0.37511542,0.8669819,28,29000.0,2900.0,0.23207235,145000.0,-18.118036,580.0,0.11789385
0.013333333333333334,0.03333333333333333,0.19339257,0.74602884,0.37527204,0.8709121,29,30000.0,3000.0,0.2317908,150000.0,-18.715197,600.0,0.10263186
0.01,0.05833333333333334,0.19306296,0.6239427,0.37520304,0.8746621,30,31000.0,3100.0,0.23154068,155000.0,-16.637106,620.0,0.09910455
0.015,0.075,0.19267303,0.6614985,0.37527612,0.8786114,31,32000.0,3200.0,0.23133986,160000.0,-18.01041,640.0,0.094658665
0.008333333333333333,0.016666666666666666,0.19236962,0.7015826,0.37550554,0.8821694,32,33000.0,3300.0,0.23108415,165000.0,-17.695719,660.0,0.09752486
0.015000000000000001,0.06666666666666667,0.19213228,0.68100977,0.3756226,0.88600665,33,34000.0,3400.0,0.23075147,170000.0,-17.999338,680.0,0.121856965
0.013333333333333334,0.041666666666666664,0.19186884,0.7528148,0.37568602,0.88953525,34,35000.0,3500.0,0.23048888,175000.0,-18.5777,700.0,0.104986794
0.01,0.08333333333333333,0.19155258,0.60016286,0.37549758,0.8928693,35,36000.0,3600.0,0.23024271,180000.0,-16.118492,720.0,0.0865581
0.006666666666666667,0.05000000000000001,0.19133283,0.58372027,0.3755366,0.8959162,36,37000.0,3700.0,0.22999229,185000.0,-16.208078,740.0,0.09890813
0.024999999999999998,0.07500000000000001,0.19107445,0.5850139,0.3755614,0.8988099,37,38000.0,3800.0,0.22973235,190000.0,-15.367927,760.0,0.108009435
0.018333333333333333,0.05000000000000001,0.19076465,0.6368467,0.37560233,0.90143853,38,39000.0,3900.0,0.22948094,195000.0,-16.56137,780.0,0.12151281
0.005,0.05000000000000001,0.19058238,0.7107193,0.37556648,0.90385836,39,40000.0,4000.0,0.229249,200000.0,-17.260786,800.0,0.11254015
