addnl_loss_term,confname,distance_threshold,env,gitrev,goal_noise,intermediate_sampling,loss_term,loss_term_weights,loss_term_weights_json,n_cycles,num_cpu,recompute_rewards,replay_strategy,reward_type,dir,epoch_test/success_rate,epoch_test/ag_g_dist,reward_computes_test/success_rate,reward_computes_test/ag_g_dist
NULL,NULL,0.05,FetchReach-v1,245b3c4,NULL,uniform,fwrl,[],[],10,NULL,True,future,NULL,245b3c4-9997fe56-FetchReach-v1-fwrl-future-her_fwrl_path_reward,0.008114035087719296,0.0016681512368421053,0.008114035087719292,0.001668151236842105
NULL,NULL,0.05,FetchReachPR-v1,245b3c4,NULL,uniform,qlst,[],[],10,NULL,True,future,NULL,245b3c4-aa0be514-FetchReachPR-v1-qlst-future-her_fwrl_path_reward,0.03026315789473684,0.0032934642894736845,0.03026315789473684,0.0032934642894736845
NULL,NULL,0.05,FetchReachPR-v1,245b3c4,NULL,uniform,fwrl,[],[],10,NULL,True,future,NULL,245b3c4-ce781a70-FetchReachPR-v1-fwrl-future-her_fwrl_path_reward,0.009210526315789473,0.0015736971315789463,0.009210526315789473,0.0015736971315789463
NULL,NULL,0.05,FetchPush-v1,245b3c4,NULL,uniform,fwrl,[],[],50,NULL,True,future,NULL,245b3c4-e5f0dd20-FetchPush-v1-fwrl-future-,0.014455782312925164,0.0023335244693877544,0.014455782312925164,0.002333524469387755
NULL,NULL,0.05,FetchPush-v1,245b3c4,NULL,uniform,qlst,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]",50,NULL,True,future,NULL,245b3c4-edd13b01-FetchPush-v1-qlst-future-,0.014710884353741507,0.0026781110000000012,0.014710884353741507,0.0026781110000000017
NULL,NULL,0.05,FetchReachPR-v1,245b3c4,NULL,uniform,dqst,[],[],10,NULL,True,future,NULL,245b3c4-fcf42138-FetchReachPR-v1-dqst-future-her_fwrl_path_reward,0.035964912280701755,0.003866938842105264,0.035964912280701755,0.003866938842105264
NULL,NULL,0.05,FetchPush-v1,355f161,NULL,middle,fwrl,[],[],50,NULL,NULL,future,,355f161-1250eef3-FetchPush-v1-fwrl-future,0.0,0.0,0.0,0.0
NULL,NULL,0.05,FetchPickAndPlace-v1,38f4625,NULL,NULL,qlst,NULL,NULL,50,NULL,NULL,future,,38f4625-38fc2e0e-FetchPickAndPlace-v1-qlst-future,0.019387755102040823,0.004778804734693878,0.019387755102040827,0.004778804734693878
NULL,NULL,0.05,FetchPickAndPlace-v1,38f4625,NULL,NULL,dqst,NULL,NULL,50,NULL,NULL,future,,38f4625-b8c40fb7-FetchPickAndPlace-v1-dqst-future,0.01887755102040816,0.0049604664489795915,0.018877551020408157,0.004960466448979592
NULL,NULL,0.05,FetchPickAndPlace-v1,38f4625,NULL,NULL,ddpg,NULL,NULL,50,NULL,NULL,future,,38f4625-FetchPickAndPlace-v1-ddpg-future,0.018962585034013612,0.004905357897959183,0.018962585034013615,0.004905357897959182
NULL,NULL,0.05,FetchPickAndPlace-v1,38f4625,NULL,NULL,fwrl,NULL,NULL,50,NULL,NULL,future,,38f4625-FetchPickAndPlace-v1-fwrl-future,0.022874149659863945,0.005325672530612246,0.022874149659863948,0.005325672530612245
NULL,NULL,0.05,FetchPush-v1,38f4625,NULL,NULL,ddpg,NULL,NULL,50,NULL,NULL,future,NULL,38f4625-FetchPush-v1-ddpg-future,0.014710884353741484,0,0.01471088435374149,0
NULL,NULL,0.05,FetchPush-v1,38f4625,NULL,NULL,dqst,NULL,NULL,50,NULL,NULL,future,NULL,38f4625-FetchPush-v1-dqst-future,0.015306122448979591,0,0.015306122448979588,0
NULL,NULL,0.05,FetchPush-v1,38f4625,NULL,NULL,dqte,NULL,NULL,50,NULL,NULL,future,NULL,38f4625-FetchPush-v1-dqte-future,0.011226851851851854,0,0.011226851851851852,0
NULL,NULL,0.05,FetchPush-v1,38f4625,NULL,NULL,fwrl,NULL,NULL,50,NULL,NULL,future,NULL,38f4625-FetchPush-v1-fwrl-future,0.01522108843537415,0,0.015221088435374144,0
NULL,NULL,0.05,FetchReach-v1,38f4625,NULL,NULL,ddpg,NULL,NULL,10,NULL,NULL,future,NULL,38f4625-FetchReach-v1-ddpg-future,0.005017006802721085,0,0.005017006802721085,0
NULL,NULL,0.05,FetchReach-v1,38f4625,NULL,NULL,dqst,NULL,NULL,10,NULL,NULL,future,NULL,38f4625-FetchReach-v1-dqst-future,0.002551020408163265,0,0.002551020408163265,0
NULL,NULL,0.05,FetchReach-v1,38f4625,NULL,NULL,dqte,NULL,NULL,10,NULL,NULL,future,NULL,38f4625-FetchReach-v1-dqte-future,0.012414965986394556,0,0.012414965986394558,0
NULL,NULL,0.05,FetchReach-v1,38f4625,NULL,NULL,qlst,NULL,NULL,10,NULL,NULL,future,NULL,38f4625-FetchReach-v1-qlst-future,0.009183673469387756,0,0.009183673469387756,0
