stats_o/std,test/success_rate,test/reward_compute_count,train/success_rate,test/ag_g_dist,train/reward_compute_count,stats_g/mean,test/episode,train/episode,train/critic_loss,stats_g/std,epoch,test/mean_Q,stats_o/mean
0.821448,0.13333333333333333,28000.0,0.011666666666666665,0.7814056,140000.0,0.36557165,560.0,2800.0,0.18071675,0.15984051,27,-21.6135,0.20646681
0.82381696,0.14166666666666666,29000.0,0.016666666666666666,0.7319968,145000.0,0.36567345,580.0,2900.0,0.18189593,0.16030033,28,-21.276426,0.20644926
0.8263499,0.06666666666666667,30000.0,0.011666666666666667,0.8041959,150000.0,0.36581334,600.0,3000.0,0.167625,0.1608145,29,-22.622032,0.20656566
0.82893085,0.11666666666666665,31000.0,0.023333333333333334,0.74261093,155000.0,0.3659838,620.0,3100.0,0.18732144,0.16119494,30,-21.98832,0.20665689
0.8310213,0.09166666666666667,32000.0,0.011666666666666667,0.7080736,160000.0,0.36610198,640.0,3200.0,0.1919718,0.16160913,31,-21.169344,0.20666675
0.8335213,0.08333333333333333,33000.0,0.015,0.78607005,165000.0,0.3661863,660.0,3300.0,0.17235799,0.16192007,32,-22.924423,0.20671137
0.8357027,0.15,34000.0,0.02,0.7131527,170000.0,0.36630937,680.0,3400.0,0.17673482,0.16224918,33,-20.091764,0.20688282
0.83768123,0.13333333333333333,35000.0,0.013333333333333334,0.7443313,175000.0,0.36646125,700.0,3500.0,0.15592834,0.16267477,34,-21.704645,0.20699777
0.8395576,0.12500000000000003,36000.0,0.015000000000000001,0.70038253,180000.0,0.36660674,720.0,3600.0,0.1781459,0.16314396,35,-20.868254,0.20709775
0.8412773,0.13333333333333333,37000.0,0.03666666666666666,0.7095023,185000.0,0.36673018,740.0,3700.0,0.18800914,0.16349241,36,-21.603302,0.20735048
0.8428588,0.075,38000.0,0.008333333333333333,0.7858391,190000.0,0.36689362,760.0,3800.0,0.18037748,0.16382873,37,-24.509043,0.20758754
0.84477633,0.13333333333333333,39000.0,0.013333333333333334,0.9069217,195000.0,0.3670967,780.0,3900.0,0.18354768,0.16411301,38,-25.796463,0.20774795
0.8462637,0.06666666666666667,40000.0,0.015,0.8114813,200000.0,0.36726716,800.0,4000.0,0.29067755,0.16432469,39,-23.872787,0.2079078
0.84751683,0.11666666666666665,41000.0,0.011666666666666667,0.8083336,205000.0,0.36739954,820.0,4100.0,0.17651391,0.16459966,40,-24.381714,0.2080155
0.8488057,0.13333333333333333,42000.0,0.028333333333333332,0.75568885,210000.0,0.36751458,840.0,4200.0,0.18079849,0.1648059,41,-23.241861,0.20797414
0.8500509,0.19166666666666665,43000.0,0.013333333333333334,0.6839692,215000.0,0.3676081,860.0,4300.0,0.18126547,0.16494837,42,-20.731207,0.20810957
0.8512489,0.15,44000.0,0.023333333333333334,0.72178394,220000.0,0.36774516,880.0,4400.0,0.16863985,0.16513535,43,-22.954237,0.2081985
0.85234183,0.15,45000.0,0.021666666666666667,0.7169346,225000.0,0.367861,900.0,4500.0,0.20863958,0.16527839,44,-22.445276,0.20823932
0.85339737,0.15,46000.0,0.021666666666666667,0.68309855,230000.0,0.36801735,920.0,4600.0,0.28114024,0.16541411,45,-22.240736,0.20830071
0.8547022,0.13333333333333333,47000.0,0.021666666666666667,0.70071363,235000.0,0.36819705,940.0,4700.0,0.17946379,0.1656054,46,-22.601347,0.20828779
0.85587424,0.13333333333333333,48000.0,0.016666666666666666,0.7262637,240000.0,0.36836305,960.0,4800.0,0.18357372,0.16583598,47,-23.270746,0.20824142
0.85703564,0.10000000000000002,49000.0,0.02,0.72377586,245000.0,0.36855713,980.0,4900.0,0.19564311,0.16604044,48,-23.534927,0.20818813
0.8582881,0.10833333333333334,50000.0,0.02,0.7053962,250000.0,0.36865994,1000.0,5000.0,0.22434048,0.16624247,49,-24.633944,0.20815997
0.85930806,0.10000000000000002,51000.0,0.013333333333333334,0.6967599,255000.0,0.3688116,1020.0,5100.0,0.20680195,0.1664944,50,-22.775652,0.20822169
0.86043954,0.125,52000.0,0.015,0.6763482,260000.0,0.36894205,1040.0,5200.0,0.20485778,0.16664271,51,-22.582937,0.20830381
0.8615237,0.075,53000.0,0.02,0.7462387,265000.0,0.3690513,1060.0,5300.0,0.19098108,0.16678484,52,-25.088663,0.20834136
0.8625447,0.10000000000000002,54000.0,0.018333333333333333,0.71205455,270000.0,0.3691803,1080.0,5400.0,0.26272175,0.16696222,53,-24.393522,0.20834754
0.8635327,0.13333333333333333,55000.0,0.015000000000000001,0.6841071,275000.0,0.36940527,1100.0,5500.0,0.201225,0.1671081,54,-22.247261,0.20843406
0.8645225,0.13333333333333333,56000.0,0.02,0.70554954,280000.0,0.3695313,1120.0,5600.0,0.18382847,0.16722946,55,-24.03311,0.20843166
0.8652894,0.09166666666666667,57000.0,0.013333333333333334,0.75931644,285000.0,0.36953637,1140.0,5700.0,0.27030107,0.1673435,56,-24.478067,0.208459
0.8661396,0.11666666666666668,58000.0,0.013333333333333334,0.80194837,290000.0,0.36954078,1160.0,5800.0,0.23632896,0.16745757,57,-26.323286,0.2084779
0.8669694,0.09166666666666667,59000.0,0.023333333333333334,0.7077408,295000.0,0.36961958,1180.0,5900.0,0.2223223,0.16753523,58,-23.804756,0.2085119
0.8676804,0.11666666666666665,60000.0,0.015000000000000001,0.69733363,300000.0,0.3697184,1200.0,6000.0,0.17558692,0.16759808,59,-23.166922,0.20856227
