train/episode,stats_o/mean,stats_g/mean,stats_g/std,train/critic_loss,test/mean_Q,train/success_rate,stats_o/std,test/episode,test/success_rate,epoch,test/ag_g_dist
2200.0,0.19334437,0.37278476,0.24221759,0.10399223,-21.836222,0.005,0.83611375,440.0,0.03333333333333333,21,0.67328995
2300.0,0.19304584,0.37259516,0.2418438,0.13938497,-23.187746,0.016666666666666666,0.84300756,460.0,0.03333333333333333,22,0.67098355
2400.0,0.19284452,0.3725426,0.24175273,0.12469245,-20.649908,0.016666666666666666,0.84935683,480.0,0.05833333333333334,23,0.592496
2500.0,0.1925474,0.37261057,0.24156158,0.12472724,-21.832258,0.011666666666666667,0.8556897,500.0,0.049999999999999996,24,0.61777073
2600.0,0.19223051,0.3726128,0.24127264,0.121590495,-20.457125,0.013333333333333334,0.86178404,520.0,0.041666666666666664,25,0.6077234
2700.0,0.19182722,0.37287793,0.24110965,0.17374079,-22.530169,0.01,0.8678774,540.0,0.05000000000000001,26,0.6410848
2800.0,0.19171794,0.37299633,0.24079768,0.14806356,-21.001558,0.016666666666666666,0.87307674,560.0,0.08333333333333333,27,0.59337956
2900.0,0.1914764,0.3730859,0.24050476,0.14911596,-20.501701,0.011666666666666667,0.877937,580.0,0.03333333333333333,28,0.5651346
3000.0,0.19133513,0.37292346,0.24039008,0.13154443,-24.82972,0.008333333333333333,0.88271827,600.0,0.05000000000000001,29,0.6634029
3100.0,0.19106048,0.37282082,0.24022274,0.1426717,-18.755995,0.018333333333333337,0.8873144,620.0,0.075,30,0.5344761
3200.0,0.19088249,0.37304208,0.23996778,0.16549377,-20.248903,0.016666666666666666,0.89177966,640.0,0.05833333333333333,31,0.5236738
3300.0,0.1905901,0.37300277,0.23977976,0.17322896,-19.300959,0.015,0.89591056,660.0,0.08333333333333333,32,0.483636
3400.0,0.19034229,0.37319684,0.23943748,0.17694104,-21.327791,0.028333333333333332,0.9000332,680.0,0.09166666666666667,33,0.5454739
3500.0,0.19005619,0.37320486,0.2392432,0.25179628,-18.325676,0.023333333333333334,0.9037762,700.0,0.15833333333333335,34,0.500561
3600.0,0.18973781,0.37329897,0.23904671,0.19645439,-18.687866,0.015000000000000001,0.9073923,720.0,0.125,35,0.5006804
3700.0,0.18943693,0.3734006,0.2387939,0.19011585,-19.27186,0.03166666666666667,0.91100353,740.0,0.09166666666666667,36,0.5131679
3800.0,0.18922818,0.37347373,0.23861058,0.16119742,-18.113342,0.021666666666666667,0.91445524,760.0,0.08333333333333333,37,0.45532855
3900.0,0.18911268,0.37349787,0.23842882,0.2666742,-20.734718,0.018333333333333333,0.91762894,780.0,0.06666666666666667,38,0.53676707
4000.0,0.18903975,0.37350512,0.23824768,0.18920793,-18.262846,0.03333333333333333,0.92047375,800.0,0.10000000000000002,39,0.5065215
4100.0,0.1889183,0.37375453,0.23796673,0.17818315,-18.126364,0.02,0.9232914,820.0,0.11666666666666668,40,0.4561442
4200.0,0.18874985,0.37392625,0.23772502,0.19699208,-15.405362,0.03,0.92614484,840.0,0.125,41,0.4102924
4300.0,0.1885828,0.37378582,0.23771448,0.18768908,-16.371254,0.013333333333333334,0.928725,860.0,0.125,42,0.44362333
4400.0,0.18840188,0.37399182,0.23753516,0.2639806,-17.598782,0.021666666666666667,0.9312546,880.0,0.09166666666666667,43,0.4816741
4500.0,0.18820739,0.37387165,0.23739137,0.2318294,-16.474852,0.034999999999999996,0.933757,900.0,0.125,44,0.45174646
4600.0,0.18808798,0.3740208,0.2373644,0.30285814,-17.4634,0.018333333333333333,0.9361675,920.0,0.09999999999999999,45,0.4141403
4700.0,0.18803011,0.3740827,0.23731096,0.22241211,-15.961983,0.023333333333333334,0.93832636,940.0,0.14166666666666666,46,0.41808876
4800.0,0.18795176,0.37413517,0.23723538,0.26275823,-17.437424,0.015,0.9405348,960.0,0.05833333333333333,47,0.4125103
4900.0,0.18774514,0.37406424,0.23713367,0.21096368,-15.249996,0.02666666666666667,0.9427789,980.0,0.09999999999999999,48,0.4283118
5000.0,0.18759517,0.37409207,0.23704827,0.21476406,-17.223852,0.024999999999999998,0.9447832,1000.0,0.11666666666666668,49,0.4463997
