train/episode,stats_o/mean,train/critic_addnl_loss,test/mean_Q,test/success_rate,stats_o/std,stats_g/std,train/success_rate,epoch,train/critic_loss,stats_g/mean,test/episode
480.0,0.26246297,0.038924854,-0.6669491,1.0,0.029229531,0.08591291,0.775,23,0.051587135,0.8747484,480.0
500.0,0.2625455,0.057450783,-0.5890457,1.0,0.029282173,0.08588182,0.7916666666666666,24,0.06939871,0.8750816,500.0
520.0,0.26249793,0.03857146,-0.64287144,1.0,0.02933391,0.08588917,0.875,25,0.05107118,0.8749612,520.0
540.0,0.26247245,0.049364846,-0.61558694,1.0,0.029374028,0.085931115,0.8250000000000001,26,0.06780764,0.8749077,540.0
560.0,0.26248154,0.036601376,-0.6397226,1.0,0.02938562,0.08585385,0.7166666666666667,27,0.054301232,0.8749032,560.0
580.0,0.26245233,0.05792421,-0.60246027,1.0,0.02948155,0.086066365,0.7416666666666666,28,0.07219926,0.87479234,580.0
600.0,0.26237383,0.038492937,-0.53522307,1.0,0.02949374,0.08592943,0.7333333333333334,29,0.053973336,0.8745444,600.0
620.0,0.2623707,0.039925177,-0.5597003,1.0,0.029538373,0.086006165,0.7416666666666667,30,0.05430791,0.87447214,620.0
640.0,0.26237294,0.031643145,-0.52554387,1.0,0.029559666,0.08600076,0.7000000000000001,31,0.045292314,0.8744271,640.0
660.0,0.26236445,0.033553723,-0.5897408,1.0,0.02961951,0.08605475,0.725,32,0.049664762,0.8743964,660.0
680.0,0.26238537,0.034940634,-0.55341226,1.0,0.02966544,0.08608011,0.7166666666666668,33,0.051386278,0.8744654,680.0
700.0,0.26241976,0.046508238,-0.4900907,1.0,0.029704362,0.08609403,0.725,34,0.060812533,0.8746591,700.0
720.0,0.26243407,0.036962714,-0.4689423,1.0,0.029714813,0.086045474,0.6833333333333332,35,0.053464185,0.87469035,720.0
740.0,0.26246542,0.027704524,-0.4541273,1.0,0.029720182,0.08598689,0.7833333333333333,36,0.042056214,0.87480515,740.0
760.0,0.2624655,0.034330126,-0.48127553,1.0,0.02975502,0.08601198,0.75,37,0.04733674,0.8747918,760.0
780.0,0.2624555,0.038102064,-0.4919735,1.0,0.02978236,0.08605599,0.75,38,0.051661845,0.8747864,780.0
800.0,0.2624626,0.029837333,-0.4083823,1.0,0.029812584,0.08609458,0.7166666666666667,39,0.042643297,0.8748211,800.0
820.0,0.26245826,0.040286366,-0.44771788,1.0,0.029848441,0.08617721,0.6833333333333332,40,0.05573931,0.87480754,820.0
840.0,0.26248962,0.040676653,-0.4448764,1.0,0.029869935,0.086212285,0.5666666666666668,41,0.05450027,0.8749581,840.0
860.0,0.26247683,0.0387096,-0.438557,1.0,0.029892966,0.08623686,0.6166666666666667,42,0.053072926,0.8749315,860.0
880.0,0.26250938,0.041173827,-0.38663557,1.0,0.029892212,0.086242996,0.7583333333333333,43,0.052448567,0.8750426,880.0
900.0,0.2624929,0.04448906,-0.4306437,1.0,0.029907277,0.08627162,0.7666666666666666,44,0.0590511,0.8750152,900.0
920.0,0.26252174,0.039598588,-0.32321423,1.0,0.029916907,0.08625897,0.65,45,0.05523253,0.87512416,920.0
940.0,0.2625089,0.03485692,-0.39386025,1.0,0.029920265,0.086260736,0.65,46,0.049574677,0.87511367,940.0
960.0,0.26252654,0.035298973,-0.40343294,1.0,0.029969001,0.08639189,0.7000000000000001,47,0.053894103,0.8751449,960.0
980.0,0.26253676,0.037621852,-0.31396687,1.0,0.029978827,0.08638906,0.7166666666666667,48,0.050069913,0.8752416,980.0
1000.0,0.26256192,0.032974288,-0.328168,1.0,0.029979384,0.08635426,0.6833333333333332,49,0.0475544,0.8753478,1000.0
