epoch,stats_o/mean,test/success_rate,stats_o/std,train/success_rate,stats_g/mean,test/mean_Q,train/critic_loss,test/ag_g_dist,stats_g/std,test/episode,train/episode
128,0.19239537,0.09999999999999999,0.11232356,0.015,0.8201924,-20.053185,3.0256586,0.17008154,0.19296382,2580.0,12900.0
129,0.19241337,0.09166666666666667,0.11231061,0.023333333333333334,0.82028323,-20.673319,2.5245862,0.16694908,0.19285439,2600.0,13000.0
130,0.19243602,0.049999999999999996,0.11232451,0.011666666666666667,0.82038254,-20.895723,2.3618476,0.17458689,0.19274402,2620.0,13100.0
131,0.19245516,0.10000000000000002,0.11233974,0.015000000000000001,0.8205061,-19.23178,2.6812773,0.15595232,0.19261701,2640.0,13200.0
132,0.19246703,0.09166666666666667,0.11236913,0.021666666666666667,0.82059383,-21.008446,1.7311397,0.19649486,0.19251221,2660.0,13300.0
133,0.19249387,0.13333333333333333,0.11237792,0.018333333333333333,0.8207274,-22.35903,1.9480752,0.16795485,0.19236322,2680.0,13400.0
134,0.19250292,0.10833333333333335,0.112356156,0.015,0.8208151,-20.52156,3.1434376,0.17558591,0.19217502,2700.0,13500.0
135,0.19251531,0.08333333333333333,0.11233434,0.016666666666666666,0.82085896,-23.185295,2.9150684,0.1713205,0.19210368,2720.0,13600.0
136,0.19252014,0.075,0.11231636,0.021666666666666667,0.8209472,-21.232773,2.3332148,0.17997305,0.19193834,2740.0,13700.0
137,0.19253613,0.10000000000000002,0.112315185,0.011666666666666665,0.82109475,-20.768927,2.56,0.15918629,0.1918167,2760.0,13800.0
138,0.1925445,0.075,0.11231402,0.03,0.8211687,-20.33354,2.2079513,0.16132216,0.19167966,2780.0,13900.0
139,0.19256572,0.09999999999999999,0.11233548,0.016666666666666666,0.82126546,-20.885473,2.1925495,0.1684496,0.19160984,2800.0,14000.0
140,0.19259386,0.15,0.11235765,0.015,0.821426,-20.36348,3.7336857,0.14853726,0.19150482,2820.0,14100.0
141,0.19263451,0.14166666666666666,0.11236235,0.015,0.82159215,-18.6428,2.53905,0.17576076,0.19141537,2840.0,14200.0
142,0.19266157,0.18333333333333335,0.11238655,0.018333333333333333,0.82170695,-16.73166,4.220548,0.1613155,0.19128413,2860.0,14300.0
143,0.19267653,0.16666666666666666,0.112463005,0.011666666666666667,0.82173985,-18.504435,3.7823312,0.18722479,0.19124858,2880.0,14400.0
144,0.19271596,0.10000000000000002,0.112501346,0.018333333333333337,0.82188636,-19.973299,4.137703,0.1630015,0.19110112,2900.0,14500.0
145,0.19273901,0.03333333333333333,0.11254092,0.02,0.8219622,-23.060617,2.1451685,0.17061788,0.19100797,2920.0,14600.0
146,0.1927446,0.10000000000000002,0.11259798,0.013333333333333334,0.8220584,-20.689457,2.9595547,0.17325415,0.19090402,2940.0,14700.0
147,0.1927616,0.075,0.11265721,0.016666666666666666,0.8222137,-18.353447,2.9765902,0.1870147,0.19075398,2960.0,14800.0
148,0.19278248,0.09166666666666667,0.11271266,0.02,0.8223176,-17.591572,2.351819,0.15595685,0.19061184,2980.0,14900.0
149,0.19281988,0.06666666666666667,0.11279484,0.008333333333333333,0.8224609,-19.783865,2.156319,0.19305451,0.19050105,3000.0,15000.0
150,0.19284473,0.09166666666666666,0.11282584,0.013333333333333334,0.8225649,-18.533476,2.3762596,0.18011582,0.1904332,3020.0,15100.0
151,0.19285645,0.125,0.11286079,0.01,0.82264966,-17.985353,2.3370144,0.16995947,0.19037561,3040.0,15200.0
152,0.19286859,0.13333333333333333,0.11287955,0.005,0.8227346,-16.55288,2.3788195,0.170184,0.19028722,3060.0,15300.0
153,0.19287933,0.07500000000000001,0.11292898,0.021666666666666667,0.82284623,-19.859003,3.0883586,0.15604217,0.1902362,3080.0,15400.0
154,0.19288795,0.15833333333333335,0.11293837,0.006666666666666667,0.82293725,-18.269255,3.366063,0.15651678,0.19012775,3100.0,15500.0
155,0.19290382,0.075,0.112938166,0.015,0.82304907,-20.693632,3.293337,0.164502,0.19003023,3120.0,15600.0
156,0.19293267,0.07500000000000001,0.11291835,0.005,0.8231892,-21.429071,1.6527104,0.18490237,0.18991964,3140.0,15700.0
157,0.19294862,0.19999999999999998,0.11293409,0.011666666666666667,0.82327193,-17.24955,1.6682,0.16204181,0.18988103,3160.0,15800.0
158,0.19295919,0.13333333333333333,0.11292449,0.018333333333333333,0.823344,-18.220522,3.906781,0.1498105,0.18977393,3180.0,15900.0
159,0.19297601,0.09999999999999999,0.11291772,0.015,0.82340044,-20.873991,3.8007374,0.1656446,0.18969221,3200.0,16000.0
160,0.19298212,0.09999999999999999,0.11295118,0.0033333333333333335,0.823479,-22.770376,4.3846574,0.15981208,0.18967037,3220.0,16100.0
161,0.19298477,0.10833333333333335,0.1129691,0.015,0.82351834,-19.765085,2.3710177,0.17252469,0.18967222,3240.0,16200.0
162,0.19300868,0.09166666666666667,0.11293731,0.021666666666666667,0.8235889,-23.58017,3.2774584,0.16001819,0.18959443,3260.0,16300.0
163,0.19302304,0.13333333333333333,0.112903565,0.011666666666666667,0.82370883,-20.145855,1.8518347,0.16385631,0.18946068,3280.0,16400.0
164,0.19304998,0.18333333333333335,0.11289517,0.018333333333333337,0.8237846,-19.196539,2.5346994,0.15672226,0.18938847,3300.0,16500.0
165,0.19306415,0.11666666666666665,0.11288082,0.023333333333333334,0.8238519,-22.221514,2.6230652,0.17750637,0.18929182,3320.0,16600.0
166,0.1930768,0.15,0.11286488,0.008333333333333333,0.8238993,-21.808395,2.9827137,0.18319082,0.1891793,3340.0,16700.0
167,0.19310671,0.09166666666666667,0.11286443,0.006666666666666667,0.82399446,-21.360521,2.0699298,0.19350366,0.18907453,3360.0,16800.0
168,0.19313192,0.11666666666666665,0.112831116,0.011666666666666665,0.82410955,-22.369452,3.9095964,0.1850021,0.18891622,3380.0,16900.0
169,0.19315098,0.09166666666666667,0.11279593,0.015,0.8241865,-21.665575,3.3729775,0.17342895,0.18876272,3400.0,17000.0
170,0.19317645,0.11666666666666665,0.11278533,0.008333333333333333,0.824282,-22.010458,4.481051,0.15185393,0.18864922,3420.0,17100.0
171,0.19319849,0.08333333333333333,0.11280179,0.015,0.8243702,-22.537254,3.8089025,0.1839718,0.18856497,3440.0,17200.0
172,0.19321764,0.13333333333333333,0.11278295,0.011666666666666667,0.82442,-19.079208,4.635799,0.18923116,0.18842943,3460.0,17300.0
173,0.19324113,0.10833333333333334,0.112790436,0.015000000000000001,0.82451636,-19.757444,3.606005,0.1671509,0.18832052,3480.0,17400.0
174,0.19325371,0.17499999999999996,0.11280224,0.015,0.82458276,-19.781084,1.6023852,0.15883923,0.18820983,3500.0,17500.0
175,0.193277,0.09166666666666667,0.112846285,0.023333333333333334,0.82467717,-18.52498,2.906932,0.16668087,0.18811989,3520.0,17600.0
176,0.19328612,0.16666666666666666,0.11288067,0.03,0.8247221,-19.161703,4.4496017,0.1538396,0.18806434,3540.0,17700.0
177,0.19329022,0.15,0.11289483,0.01,0.8247693,-19.46589,3.3894603,0.1896153,0.18800123,3560.0,17800.0
178,0.19329773,0.10000000000000002,0.112933725,0.013333333333333334,0.82483155,-17.78982,2.652051,0.14693771,0.18795319,3580.0,17900.0
179,0.19331627,0.10833333333333334,0.11292257,0.021666666666666667,0.8248984,-19.206821,2.460594,0.16273507,0.18788545,3600.0,18000.0
180,0.19332929,0.13333333333333333,0.11289672,0.013333333333333334,0.82494855,-20.340204,3.053029,0.15177235,0.1877923,3620.0,18100.0
181,0.193348,0.09166666666666667,0.112887084,0.013333333333333334,0.8250213,-19.541565,3.0486755,0.16889691,0.18768388,3640.0,18200.0
182,0.19337142,0.10833333333333332,0.11287854,0.011666666666666665,0.8251141,-21.609446,2.9123309,0.15002304,0.18762012,3660.0,18300.0
183,0.19338721,0.09166666666666667,0.11287257,0.018333333333333333,0.82519454,-19.765482,2.4755156,0.16359244,0.1875764,3680.0,18400.0
184,0.19340293,0.06666666666666667,0.11287591,0.023333333333333334,0.8252581,-20.10843,1.4660654,0.18188451,0.18752998,3700.0,18500.0
185,0.19341122,0.19166666666666665,0.11283895,0.011666666666666667,0.82532233,-19.949217,2.7613165,0.1581852,0.18744099,3720.0,18600.0
186,0.19342585,0.13333333333333333,0.11283475,0.01,0.82538176,-21.326536,3.3709126,0.1541216,0.187392,3740.0,18700.0
187,0.193435,0.07500000000000001,0.11283126,0.013333333333333334,0.8254037,-21.620817,3.2759736,0.17897005,0.18734437,3760.0,18800.0
188,0.19345392,0.08333333333333333,0.11277858,0.021666666666666667,0.82551146,-25.6923,2.7247288,0.16178836,0.1871993,3780.0,18900.0
189,0.19346945,0.1416666666666667,0.112752,0.016666666666666666,0.8255601,-19.71211,3.619315,0.14705418,0.1871419,3800.0,19000.0
