train/success_rate,test/success_rate,train/critic_loss,stats_o/std,test/episode,epoch,stats_g/mean,train/episode,stats_g/std,test/mean_Q,stats_o/mean
0.05000000000000001,0.05833333333333333,0.028877815,0.05881585,340.0,16,0.8386302,1700.0,0.06089826,150.7087,0.2012725
0.08166666666666667,0.041666666666666664,0.030781068,0.059222173,360.0,17,0.83881027,1800.0,0.060941186,162.45935,0.20126182
0.08333333333333333,0.05833333333333334,0.028149089,0.059901338,380.0,18,0.8388295,1900.0,0.060979728,148.4972,0.20124714
0.07166666666666667,0.08333333333333333,0.035496414,0.06020068,400.0,19,0.8387902,2000.0,0.06101134,162.60162,0.20121616
0.06166666666666667,0.05833333333333333,0.033591844,0.060861185,420.0,20,0.8387435,2100.0,0.061012056,180.76588,0.20120068
0.06666666666666667,0.08333333333333333,0.03506759,0.061265636,440.0,21,0.83879095,2200.0,0.06105673,166.8662,0.20121403
0.06166666666666667,0.05833333333333334,0.032106336,0.061514974,460.0,22,0.83868414,2300.0,0.06101723,177.88899,0.20118408
0.06166666666666667,0.06666666666666667,0.031473998,0.062296506,480.0,23,0.8387187,2400.0,0.060978685,192.9316,0.20112036
0.06833333333333334,0.09999999999999999,0.029719695,0.06289982,500.0,24,0.83875275,2500.0,0.060978327,163.90778,0.20116444
0.06,0.05000000000000001,0.031639375,0.06334886,520.0,25,0.8387305,2600.0,0.060986713,187.24744,0.20110546
0.085,0.075,0.030252585,0.06347453,540.0,26,0.83866245,2700.0,0.061009318,185.46016,0.20109244
0.06666666666666667,0.11666666666666665,0.029625481,0.064066246,560.0,27,0.83873636,2800.0,0.06098129,177.42097,0.20103824
0.05333333333333334,0.05000000000000001,0.03286877,0.0642778,580.0,28,0.83869046,2900.0,0.06097986,193.12425,0.20104122
0.075,0.041666666666666664,0.031252816,0.06463765,600.0,29,0.83861727,3000.0,0.061005678,196.31567,0.20100681
0.075,0.041666666666666664,0.029167375,0.06531332,620.0,30,0.83863115,3100.0,0.06099895,170.00215,0.20098598
0.06166666666666667,0.05833333333333334,0.030198282,0.06553875,640.0,31,0.8385404,3200.0,0.0610235,189.25133,0.20100325
0.08,0.075,0.03380614,0.06575638,660.0,32,0.838562,3300.0,0.061006784,175.48499,0.20100217
0.06166666666666667,0.049999999999999996,0.03349964,0.0660462,680.0,33,0.83855265,3400.0,0.06100264,174.58745,0.20102684
0.06833333333333334,0.06666666666666667,0.03963445,0.066383965,700.0,34,0.8385777,3500.0,0.06099768,167.62846,0.20101148
0.07333333333333333,0.08333333333333333,0.033811737,0.06669931,720.0,35,0.83862066,3600.0,0.06104864,186.70795,0.20100968
0.06833333333333334,0.05833333333333334,0.03276697,0.06695269,740.0,36,0.83868307,3700.0,0.06107754,198.68689,0.20100117
0.055,0.075,0.034533106,0.067260906,760.0,37,0.838636,3800.0,0.061048154,194.52887,0.20098598
0.075,0.09166666666666667,0.03260764,0.0674829,780.0,38,0.83863646,3900.0,0.061039124,211.19719,0.20100547
0.065,0.075,0.03200784,0.0676839,800.0,39,0.83863974,4000.0,0.06101932,205.7273,0.20100826
0.08333333333333333,0.06666666666666667,0.03336425,0.067663364,820.0,40,0.8385854,4100.0,0.061033193,190.66943,0.20099026
0.07,0.025000000000000005,0.03780723,0.06802186,840.0,41,0.8386347,4200.0,0.061022196,228.51811,0.20097177
0.07833333333333335,0.09166666666666667,0.03460902,0.06838382,860.0,42,0.83862996,4300.0,0.061007813,207.46172,0.20097893
0.075,0.05833333333333333,0.041222334,0.06863169,880.0,43,0.8386503,4400.0,0.06100462,221.5019,0.20096998
0.051666666666666666,0.05833333333333333,0.03917253,0.06864954,900.0,44,0.8386509,4500.0,0.06100926,202.22437,0.20096934
0.07333333333333335,0.041666666666666664,0.03762011,0.06894607,920.0,45,0.8386151,4600.0,0.061018202,225.98656,0.20095654
0.08,0.041666666666666664,0.0377121,0.06912739,940.0,46,0.8385741,4700.0,0.061033055,250.03401,0.20095621
0.05833333333333333,0.125,0.035961967,0.06935943,960.0,47,0.838619,4800.0,0.0610252,213.76964,0.20094627
0.07166666666666667,0.05833333333333333,0.037802525,0.06952634,980.0,48,0.83864933,4900.0,0.061034784,223.76233,0.20095415
0.08666666666666667,0.10833333333333334,0.033612695,0.069801,1000.0,49,0.83871007,5000.0,0.061021402,209.4284,0.20095108
