test/mean_Q,train/reward_compute_count,test/success_rate,stats_g/std,train/success_rate,train/critic_loss,test/ag_g_dist,stats_o/mean,stats_g/mean,stats_o/std,train/episode,epoch,test/episode,test/reward_compute_count
-9.9943285,145000.0,0.48333333333333334,0.18994789,0.19000000000000003,0.34307158,0.16009583,0.188474,0.7975895,0.10448135,2900.0,28,580.0,29000.0
-11.455269,150000.0,0.45,0.18995018,0.18166666666666667,0.27778247,0.18057369,0.18870895,0.7986973,0.10470506,3000.0,29,600.0,30000.0
-10.865895,155000.0,0.5,0.18942152,0.18833333333333332,0.21862502,0.171737,0.18888406,0.7996425,0.10484975,3100.0,30,620.0,31000.0
-11.447137,160000.0,0.3833333333333333,0.18898499,0.18833333333333332,0.23108788,0.1685764,0.18908942,0.8006439,0.10491092,3200.0,31,640.0,32000.0
-10.007306,165000.0,0.5416666666666666,0.18878774,0.21666666666666665,0.18366762,0.1805228,0.1892094,0.801302,0.10507444,3300.0,32,660.0,33000.0
-10.736057,170000.0,0.5416666666666667,0.18848507,0.20333333333333334,0.26891118,0.16881116,0.18941243,0.80210334,0.10527503,3400.0,33,680.0,34000.0
-11.278671,175000.0,0.4749999999999999,0.18823789,0.21,0.15601014,0.18265224,0.18954726,0.8026137,0.10539935,3500.0,34,700.0,35000.0
-10.408914,180000.0,0.5916666666666667,0.1879784,0.19499999999999998,0.5105967,0.17324607,0.18970305,0.80324084,0.10558644,3600.0,35,720.0,36000.0
-11.978448,185000.0,0.4666666666666666,0.18764432,0.22,0.56331974,0.17770214,0.18979745,0.803783,0.105844356,3700.0,36,740.0,37000.0
-11.593827,190000.0,0.49166666666666664,0.18732746,0.24333333333333332,0.23983683,0.16703403,0.18989883,0.80435634,0.1059108,3800.0,37,760.0,38000.0
-11.145504,195000.0,0.43333333333333335,0.18709461,0.18166666666666667,0.26540804,0.16278829,0.19000559,0.8051056,0.10610097,3900.0,38,780.0,39000.0
