test/ag_g_dist,stats_o/mean,test/mean_Q,train/episode,test/success_rate,stats_g/mean,train/critic_loss,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch
0.016310794,0.26393694,-2.25857,1180.0,0.9583333333333334,0.87930435,0.06025326,0.30833333333333335,1180.0,0.031134158,0.08471302,58
0.021463221,0.26392922,-2.6666152,1200.0,0.9249999999999999,0.87926674,0.046250973,0.2333333333333333,1200.0,0.031140119,0.08471798,59
0.027475903,0.2639292,-3.2999609,1220.0,0.8666666666666666,0.87928325,0.05252249,0.31666666666666665,1220.0,0.031147143,0.08473732,60
0.020715551,0.26391694,-3.0127602,1240.0,0.9,0.879237,0.05470599,0.39166666666666666,1240.0,0.031149263,0.0847343,61
0.018233987,0.26389855,-2.640461,1260.0,0.9166666666666666,0.879159,0.050128773,0.375,1260.0,0.031157678,0.08474916,62
0.021285614,0.2639121,-2.849722,1280.0,0.9249999999999999,0.87921387,0.05330293,0.32499999999999996,1280.0,0.031173795,0.08480253,63
0.018935509,0.2639041,-2.6354594,1300.0,0.9083333333333332,0.87919265,0.0463534,0.225,1300.0,0.031182399,0.08482327,64
0.01289615,0.26387733,-2.5296764,1320.0,0.9583333333333334,0.8791006,0.09109556,0.3,1320.0,0.031175325,0.084772296,65
0.021746764,0.26388568,-3.291579,1340.0,0.8916666666666666,0.8791335,0.052972868,0.3499999999999999,1340.0,0.031183615,0.08481085,66
0.017940419,0.26387674,-2.6743557,1360.0,0.9249999999999999,0.87909555,0.04204293,0.3416666666666666,1360.0,0.031176006,0.08476452,67
0.021793863,0.26386803,-3.1775398,1380.0,0.8833333333333333,0.8790625,0.04194897,0.325,1380.0,0.03117015,0.08473995,68
0.01847513,0.26385632,-3.240511,1400.0,0.8999999999999999,0.87902004,0.052749377,0.3,1400.0,0.031166265,0.084716596,69
0.021973819,0.26387507,-3.296688,1420.0,0.8916666666666666,0.8790825,0.0486152,0.3333333333333333,1420.0,0.031160196,0.084700525,70
0.020955274,0.2638998,-2.658663,1440.0,0.9249999999999999,0.87916785,0.092107296,0.3416666666666666,1440.0,0.03117215,0.08473002,71
0.015012669,0.2639056,-2.2921157,1460.0,0.9500000000000001,0.879188,0.051614404,0.275,1460.0,0.031165475,0.08468699,72
0.018780118,0.26390535,-2.9762204,1480.0,0.9083333333333333,0.8791914,0.04114587,0.35833333333333334,1480.0,0.031178057,0.08470976,73
0.016166303,0.26389688,-2.8795784,1500.0,0.9250000000000002,0.87915754,0.044027746,0.3916666666666666,1500.0,0.031173026,0.084684104,74
